trade_no,timestamp,timestamp_kst,direction,net_return,cum_net_return
1,1628604000000,2021-08-10 23:00,short,0.0022956310705818613,0.0022956310705818613
2,1628841600000,2021-08-13 17:00,long,0.008140402845182493,0.010436033915764354
3,1628946000000,2021-08-14 22:00,long,0.0066027995051453296,0.017038833420909685
4,1628949600000,2021-08-14 23:00,short,0.002604396295264567,0.019643229716174253
5,1629025200000,2021-08-15 20:00,long,0.00520706124886674,0.024850290965040996
6,1629147600000,2021-08-17 06:00,short,-0.006056786105541922,0.01879350485949907
7,1629190800000,2021-08-17 18:00,long,-0.012982836113177276,0.005810668746321796
8,1629208800000,2021-08-17 23:00,short,0.003093757233240036,0.008904425979561831
9,1629226800000,2021-08-18 04:00,long,-0.01495342157207189,-0.006048995592510058
10,1629234000000,2021-08-18 06:00,short,-0.006902513425674694,-0.012951509018184752
11,1629248400000,2021-08-18 10:00,long,0.007046321757798202,-0.00590518726038655
12,1629252000000,2021-08-18 11:00,short,-0.011174465159713742,-0.017079652420100292
13,1629255600000,2021-08-18 12:00,long,-0.0007236502142525574,-0.017803302634352848
14,1629259200000,2021-08-18 13:00,short,-0.005378011699363449,-0.0231813143337163
15,1629316800000,2021-08-19 05:00,short,-0.011485038834164385,-0.034666353167880685
16,1629331200000,2021-08-19 09:00,long,-0.019363168033408627,-0.054029521201289316
17,1629396000000,2021-08-20 03:00,short,-0.004970824287607733,-0.05900034548889705
18,1629882000000,2021-08-25 18:00,short,-0.00791842615990399,-0.06691877164880104
19,1629950400000,2021-08-26 13:00,short,0.019140198411939948,-0.04777857323686109
20,1629961200000,2021-08-26 16:00,long,-0.00018580360936990491,-0.047964376846231
21,1629964800000,2021-08-26 17:00,short,-0.001568509686877028,-0.04953288653310803
22,1629979200000,2021-08-26 21:00,long,-0.002084337965943849,-0.05161722449905188
23,1630036800000,2021-08-27 13:00,short,-0.008611395081517514,-0.060228619580569395
24,1630054800000,2021-08-27 18:00,short,-0.0035940454844759265,-0.06382266506504532
25,1630072800000,2021-08-27 23:00,long,0.0034705358911219183,-0.0603521291739234
26,1630364400000,2021-08-31 08:00,short,-0.003956382642937939,-0.06430851181686134
27,1630386000000,2021-08-31 14:00,long,0.004250824866588366,-0.06005768695027298
28,1630404000000,2021-08-31 19:00,short,-0.0011107752935120888,-0.06116846224378507
29,1630411200000,2021-08-31 21:00,long,-0.010738190222509303,-0.07190665246629437
30,1630429200000,2021-09-01 02:00,long,-0.004681917878984176,-0.07658857034527854
31,1630515600000,2021-09-02 02:00,long,-0.007749363055333891,-0.08433793340061242
32,1630526400000,2021-09-02 05:00,short,-0.010928466562349559,-0.09526639996296198
33,1630659600000,2021-09-03 18:00,long,0.011834917924127409,-0.08343148203883456
34,1630670400000,2021-09-03 21:00,long,-0.0047305510574577655,-0.08816203309629232
35,1630753200000,2021-09-04 20:00,short,0.0005692000708039886,-0.08759283302548833
36,1630756800000,2021-09-04 21:00,long,-0.008259588504382886,-0.09585242152987121
37,1630764000000,2021-09-04 23:00,short,0.003582425208869556,-0.09226999632100165
38,1630825200000,2021-09-05 16:00,long,0.005848339956625504,-0.08642165636437614
39,1631026800000,2021-09-08 00:00,long,0.002644581602539243,-0.08377707476183689
40,1631030400000,2021-09-08 01:00,short,0.013346298391568557,-0.07043077637026833
