trade_no,timestamp,timestamp_kst,direction,net_return,cum_net_return
1,1628604000000,2021-08-10 23:00,short,-0.02528124382275729,-0.02528124382275729
2,1628949600000,2021-08-14 23:00,short,0.019964493653878226,-0.0053167501688790655
3,1629025200000,2021-08-15 20:00,long,0.03418208000867908,0.028865329839800016
4,1629086400000,2021-08-16 13:00,short,0.020854127918947498,0.04971945775874752
5,1629208800000,2021-08-17 23:00,short,0.013005613782734926,0.06272507154148245
6,1629226800000,2021-08-18 04:00,long,-0.010252086298876062,0.052472985242606386
7,1629331200000,2021-08-19 09:00,long,0.04623444145086677,0.09870742669347315
8,1629370800000,2021-08-19 20:00,short,-0.060047003048466864,0.03866042364500629
9,1629378000000,2021-08-19 22:00,long,0.06184202697832455,0.10050245062333084
10,1629802800000,2021-08-24 20:00,short,0.037429087776119994,0.13793153839945083
11,1629964800000,2021-08-26 17:00,short,-0.0069171751365591835,0.13101436326289165
12,1629979200000,2021-08-26 21:00,long,0.007717390364100707,0.13873175362699236
13,1630044000000,2021-08-27 15:00,long,0.037697641732697205,0.17642939535968957
14,1630054800000,2021-08-27 18:00,short,-0.0371028910533032,0.13932650430638638
15,1630062000000,2021-08-27 20:00,long,0.021995901645196627,0.161322405951583
16,1630386000000,2021-08-31 14:00,long,0.005122081018760794,0.1664444869703438
17,1630404000000,2021-08-31 19:00,short,-0.004660289709756826,0.161784197260587
18,1630411200000,2021-08-31 21:00,long,-0.003371566038980344,0.15841263122160665
19,1630641600000,2021-09-03 13:00,long,0.012213180087961151,0.1706258113095678
20,1630666800000,2021-09-03 20:00,short,0.0043353403563225704,0.17496115166589038
21,1630670400000,2021-09-03 21:00,long,-0.009658438506615607,0.16530271315927478
22,1630753200000,2021-09-04 20:00,short,-0.005948825376001698,0.15935388778327308
23,1630756800000,2021-09-04 21:00,long,-0.003712850471917472,0.15564103731135562
24,1630764000000,2021-09-04 23:00,short,-0.004248668703051938,0.15139236860830368
25,1630825200000,2021-09-05 16:00,long,0.03741601607046676,0.18880838467877045
26,1631174400000,2021-09-09 17:00,long,-0.005190955820969822,0.18361742885780064
27,1631178000000,2021-09-09 18:00,short,-0.0005531494289358945,0.18306427942886475
28,1631185200000,2021-09-09 20:00,long,-0.0009675116904702456,0.1820967677383945
29,1631433600000,2021-09-12 17:00,long,-0.03455130801644644,0.14754545972194807
30,1631440800000,2021-09-12 19:00,short,0.027919881368346913,0.175465341090295
31,1631494800000,2021-09-13 10:00,short,0.0007900507871424718,0.17625539187743747
32,1631505600000,2021-09-13 13:00,long,0.008426366183709977,0.18468175806114745
33,1631815200000,2021-09-17 03:00,short,0.009311195652139581,0.19399295371328704
34,1631923200000,2021-09-18 09:00,long,0.012403982301773775,0.20639693601506082
35,1632063600000,2021-09-20 00:00,long,-0.08034778527661054,0.12604915073845027
36,1632222000000,2021-09-21 20:00,short,0.030388706860793115,0.1564378575992434
37,1632225600000,2021-09-21 21:00,long,-0.02538193962521804,0.13105591797402535
38,1632279600000,2021-09-22 12:00,short,-0.0478416757986718,0.08321424217535356
39,1632301200000,2021-09-22 18:00,long,0.03884689319729286,0.12206113537264643
40,1632322800000,2021-09-23 00:00,short,-0.013881705145841616,0.10817943022680482
41,1632574800000,2021-09-25 22:00,long,0.015742088080395702,0.12392151830720052
42,1632654000000,2021-09-26 20:00,short,-0.015593913995965191,0.10832760431123534
43,1632931200000,2021-09-30 01:00,short,-0.034926899711517835,0.07340070459971751
44,1633287600000,2021-10-04 04:00,long,0.009729547925302917,0.08313025252502043
45,1633683600000,2021-10-08 18:00,long,-0.006661049486823533,0.0764692030381969
46,1633838400000,2021-10-10 13:00,long,0.011509252094361733,0.08797845513255864
47,1633899600000,2021-10-11 06:00,short,-0.04108364796139972,0.046894807171158924
48,1634504400000,2021-10-18 06:00,short,-0.020303407331674215,0.02659139983948471
49,1634565600000,2021-10-18 23:00,long,0.005682357315046316,0.03227375715453103
50,1634814000000,2021-10-21 20:00,short,0.021390011786056286,0.05366376894058732
51,1635001200000,2021-10-24 00:00,short,0.02326405333402384,0.07692782227461116
