trade_no,timestamp,timestamp_kst,direction,net_return,cum_net_return
1,1628946000000,2021-08-14 22:00,long,-0.010788806242067328,-0.010788806242067328
2,1629147600000,2021-08-17 06:00,short,0.026661879829404735,0.01587307358733741
3,1629252000000,2021-08-18 11:00,short,0.007870355459235446,0.023743429046572853
4,1629396000000,2021-08-20 03:00,short,-0.04348059678839431,-0.01973716774182146
5,1629979200000,2021-08-26 21:00,long,0.007717390364100707,-0.012019777377720751
6,1630072800000,2021-08-27 23:00,long,0.010206953812276787,-0.001812823565443964
7,1630364400000,2021-08-31 08:00,short,-0.003812552871004992,-0.0056253764364489565
8,1630404000000,2021-08-31 19:00,short,-0.004660289709756826,-0.010285666146205782
9,1630411200000,2021-08-31 21:00,long,-0.003371566038980344,-0.013657232185186127
10,1630515600000,2021-09-02 02:00,long,0.01463027521252771,0.0009730430273415837
11,1630526400000,2021-09-02 05:00,short,-0.02720858736110707,-0.026235544333765487
12,1630753200000,2021-09-04 20:00,short,-0.005948825376001698,-0.03218436970976719
13,1631026800000,2021-09-08 00:00,long,-0.014296356548100997,-0.046480726257868185
14,1631030400000,2021-09-08 01:00,short,0.021458913947613813,-0.02502181231025437
15,1631487600000,2021-09-13 08:00,long,-0.024913007807474716,-0.04993482011772909
16,1631548800000,2021-09-14 01:00,long,0.04808703394859739,-0.0018477861691316988
17,1632052800000,2021-09-19 21:00,short,0.07806387035661003,0.07621608418747833
18,1632142800000,2021-09-20 22:00,short,0.018077827739622878,0.09429391192710121
19,1632150000000,2021-09-21 00:00,long,-0.02072056686487553,0.07357334506222568
20,1632153600000,2021-09-21 01:00,short,0.031387586062187854,0.10496093112441354
21,1632182400000,2021-09-21 09:00,long,-0.016294241216132408,0.08866668990828114
22,1632211200000,2021-09-21 17:00,short,0.023691138530469582,0.11235782843875072
23,1632474000000,2021-09-24 18:00,short,-0.007398244016085886,0.10495958442266484
24,1632495600000,2021-09-25 00:00,long,0.01719112467431452,0.12215070909697937
25,1632499200000,2021-09-25 01:00,short,-0.01148983933678136,0.11066086976019801
26,1632654000000,2021-09-26 20:00,short,-0.015593913995965191,0.09506695576423282
27,1632877200000,2021-09-29 10:00,long,0.03596014422658791,0.13102709999082074
28,1632963600000,2021-09-30 10:00,long,0.017273817828156315,0.14830091781897706
29,1633528800000,2021-10-06 23:00,short,0.011908366552202754,0.16020928437117982
30,1634565600000,2021-10-18 23:00,long,0.005682357315046316,0.16589164168622614
31,1634814000000,2021-10-21 20:00,short,0.021390011786056286,0.18728165347228243
32,1635418800000,2021-10-28 20:00,long,-0.0005727225921702044,0.18670893088011223
33,1635966000000,2021-11-04 04:00,long,-0.027640647719756693,0.15906828316035554
34,1636038000000,2021-11-05 00:00,short,0.004090187173983817,0.16315847033433936
35,1636124400000,2021-11-06 00:00,short,0.001033975626647333,0.1641924459609867
36,1636416000000,2021-11-09 09:00,long,-0.010289570634717226,0.15390287532626948
37,1636729200000,2021-11-13 00:00,short,-0.024863248167275784,0.1290396271589937
38,1636743600000,2021-11-13 04:00,long,0.00125310069975706,0.13029272785875076
39,1636747200000,2021-11-13 05:00,short,-0.004834262604301509,0.12545846525444926
40,1636819200000,2021-11-14 01:00,short,0.014023684060434216,0.13948214931488348
41,1637028000000,2021-11-16 11:00,short,0.03336912799217575,0.17285127730705924
42,1637056800000,2021-11-16 19:00,long,0.0025286309052176222,0.17537990821227686
43,1637060400000,2021-11-16 20:00,short,-0.001741158906977213,0.17363874930529966
44,1637067600000,2021-11-16 22:00,long,-0.005865152148468366,0.1677735971568313
45,1637071200000,2021-11-16 23:00,short,0.01989459797960327,0.18766819513643457
46,1637096400000,2021-11-17 06:00,short,0.007185153449919457,0.19485334858635403
47,1637146800000,2021-11-17 20:00,long,-0.024033791720325912,0.17081955686602812
48,1637157600000,2021-11-17 23:00,short,0.012477212081989953,0.18329676894801808
49,1637168400000,2021-11-18 02:00,long,-0.043227144499054494,0.1400696244489636
50,1637236800000,2021-11-18 21:00,short,0.0375904630142835,0.1776600874632471
51,1637258400000,2021-11-19 03:00,short,0.001997236302956696,0.1796573237662038
52,1637265600000,2021-11-19 05:00,long,-0.004330107019950935,0.17532721674625287
53,1637290800000,2021-11-19 12:00,long,0.04564450888679152,0.2209717256330444
54,1637308800000,2021-11-19 17:00,short,-0.02681198261273496,0.19415974302030944
55,1637427600000,2021-11-21 02:00,short,-0.027888553603429986,0.16627118941687946
56,1637434800000,2021-11-21 04:00,long,-0.002039221547229996,0.16423196786964947
57,1637550000000,2021-11-22 12:00,long,-0.008060654730796623,0.15617131313885285
58,1637586000000,2021-11-22 22:00,long,-0.03970951055122638,0.11646180258762648
59,1637593200000,2021-11-23 00:00,short,0.020429796182851814,0.1368915987704783
60,1637661600000,2021-11-23 19:00,long,-0.007250175488541099,0.1296414232819372
61,1637665200000,2021-11-23 20:00,short,-0.00904353639697617,0.12059788688496104
62,1637683200000,2021-11-24 01:00,short,0.014564675160470797,0.13516256204543184
63,1637686800000,2021-11-24 02:00,long,-0.014122937707502703,0.12103962433792914
64,1637762400000,2021-11-24 23:00,long,0.04588420954679719,0.16692383388472634
65,1637802000000,2021-11-25 10:00,long,0.013623739620920583,0.18054757350564693
66,1637827200000,2021-11-25 17:00,long,-0.050452209494411294,0.13009536401123564
67,1637845200000,2021-11-25 22:00,long,-0.06738521096744385,0.0627101530437918
68,1637938800000,2021-11-27 00:00,long,0.009413905804681955,0.07212405884847375
69,1637946000000,2021-11-27 02:00,short,-0.012096002891187263,0.06002805595728649
70,1638003600000,2021-11-27 18:00,long,-0.007990146952195664,0.052037909005090824
71,1638007200000,2021-11-27 19:00,short,-0.0006837267503735138,0.05135418225471731
72,1638025200000,2021-11-28 00:00,short,0.010607273826390063,0.06196145608110737
73,1638028800000,2021-11-28 01:00,long,-0.013868019289020905,0.04809343679208646
74,1638057600000,2021-11-28 09:00,short,-0.05315355294077615,-0.005060116148689689
75,1638068400000,2021-11-28 12:00,long,0.058985829229908714,0.053925713081219025
76,1638100800000,2021-11-28 21:00,short,-0.047220475354892245,0.006705237726326779
77,1638133200000,2021-11-29 06:00,short,-0.04580721599458624,-0.03910197826825946
78,1638158400000,2021-11-29 13:00,short,0.00017669611452888546,-0.038925282153730575
79,1638216000000,2021-11-30 05:00,short,0.009565886989828765,-0.029359395163901812
80,1638288000000,2021-12-01 01:00,short,-0.031176530284889734,-0.06053592544879155
81,1638295200000,2021-12-01 03:00,long,-0.010451700949349973,-0.07098762639814152
82,1638302400000,2021-12-01 05:00,short,0.012608664066549391,-0.05837896233159213
83,1638345600000,2021-12-01 17:00,long,0.00036940916353658327,-0.05800955316805555
84,1638349200000,2021-12-01 18:00,short,0.007063485343504783,-0.050946067824550766
85,1638352800000,2021-12-01 19:00,long,-0.008529128330956958,-0.059475196155507726
86,1638381600000,2021-12-02 03:00,short,0.013287970773153935,-0.04618722538235379
87,1638403200000,2021-12-02 09:00,long,-0.006673233251376453,-0.05286045863373025
88,1638421200000,2021-12-02 14:00,long,-0.00264436106822794,-0.05550481970195819
89,1638428400000,2021-12-02 16:00,short,0.000703631134512573,-0.05480118856744562
90,1638442800000,2021-12-02 20:00,short,-0.012072919678027682,-0.0668741082454733
91,1638460800000,2021-12-03 01:00,short,0.020816215543935337,-0.046057892701537956
92,1638482400000,2021-12-03 07:00,short,0.05953297794480585,0.013475085243267897
93,1638504000000,2021-12-03 13:00,long,-0.14977228027528042,-0.1362971950320125
94,1638518400000,2021-12-03 17:00,short,0.15973384121455017,0.023436646182537657
95,1638525600000,2021-12-03 19:00,long,-0.16717727497284615,-0.1437406287903085
96,1638529200000,2021-12-03 20:00,short,0.18263480547176017,0.038894176681451675
97,1638561600000,2021-12-04 05:00,long,-0.08009070656440673,-0.04119652988295505
98,1638565200000,2021-12-04 06:00,short,0.09102302011735144,0.04982649023439639
99,1638568800000,2021-12-04 07:00,long,-0.0818201782911003,-0.03199368805670391
100,1638579600000,2021-12-04 10:00,long,-0.07465851383577135,-0.10665220189247526
101,1638604800000,2021-12-04 17:00,short,-0.043873318898523285,-0.15052552079099854
102,1638615600000,2021-12-04 20:00,long,0.055479575944040425,-0.09504594484695811
103,1638630000000,2021-12-05 00:00,short,0.003673040824201524,-0.09137290402275658
104,1638648000000,2021-12-05 05:00,long,-0.012739077301866164,-0.10411198132462274
105,1638666000000,2021-12-05 10:00,long,-0.008147678228001198,-0.11225965955262393
106,1638716400000,2021-12-06 00:00,long,0.023782503398515866,-0.08847715615410806
107,1638784800000,2021-12-06 19:00,long,0.07887643580795026,-0.009600720346157804
108,1638831600000,2021-12-07 08:00,long,0.0016647878608159424,-0.007935932485341862
109,1639065600000,2021-12-10 01:00,short,0.01596184435886208,0.008025911873520216
110,1639148400000,2021-12-11 00:00,short,-0.01687748254708574,-0.008851570673565524
111,1639162800000,2021-12-11 04:00,long,0.006396555546652883,-0.0024550151269126415
112,1639180800000,2021-12-11 09:00,long,0.03176350330755042,0.02930848818063778
113,1639245600000,2021-12-12 03:00,short,-0.036905189233867965,-0.007596701053230185
114,1639422000000,2021-12-14 04:00,long,0.002912289140490155,-0.0046844119127400306
115,1639432800000,2021-12-14 07:00,short,-0.0311312425611566,-0.03581565447389663
116,1639490400000,2021-12-14 23:00,short,-0.001291128749020797,-0.03710678322291743
117,1639508400000,2021-12-15 04:00,long,0.037832899525534945,0.0007261163026175133
118,1639562400000,2021-12-15 19:00,short,-0.020095359684462275,-0.019369243381844762
119,1639594800000,2021-12-16 04:00,long,-0.02008876909700483,-0.03945801247884959
120,1639753200000,2021-12-18 00:00,short,-0.009050176611999116,-0.04850818909084871
121,1639922400000,2021-12-19 23:00,long,-0.027147795415355367,-0.07565598450620407
122,1639926000000,2021-12-20 00:00,short,0.024835963594642598,-0.05082002091156147
123,1639962000000,2021-12-20 10:00,long,0.004227169159620204,-0.04659285175194127
124,1639980000000,2021-12-20 15:00,short,-0.04330804715471057,-0.08990089890665184
125,1640721600000,2021-12-29 05:00,short,0.006538279764218969,-0.08336261914243287
126,1640775600000,2021-12-29 20:00,short,0.0029412993981867926,-0.08042131974424607
127,1640869200000,2021-12-30 22:00,long,0.003379242160566865,-0.0770420775836792
128,1640937600000,2021-12-31 17:00,long,-0.028111092395191693,-0.10515316997887089
129,1640991600000,2022-01-01 08:00,long,0.03217825450915148,-0.0729749154697194
130,1641002400000,2022-01-01 11:00,long,0.011898697598241048,-0.06107621787147836
131,1641063600000,2022-01-02 04:00,short,0.008136284079011258,-0.0529399337924671
132,1641146400000,2022-01-03 03:00,short,0.010476833083702642,-0.04246310070876446
133,1641204000000,2022-01-03 19:00,long,-0.011297593572252662,-0.053760694281017124
134,1641218400000,2022-01-03 23:00,short,-0.011422844534915688,-0.0651835388159328
135,1641294000000,2022-01-04 20:00,long,-0.011623673045735505,-0.0768072118616683
136,1641301200000,2022-01-04 22:00,short,0.010327555605571548,-0.06647965625609675
137,1641304800000,2022-01-04 23:00,long,-0.01313517952879526,-0.07961483578489201
138,1641312000000,2022-01-05 01:00,short,0.009348732754703293,-0.07026610303018871
139,1641326400000,2022-01-05 05:00,long,-0.052268699068940695,-0.1225348020991294
140,1641384000000,2022-01-05 21:00,short,0.07084992616280997,-0.05168487593631943
141,1641391200000,2022-01-05 23:00,long,-0.08659654471581654,-0.13828142065213597
142,1641398400000,2022-01-06 01:00,short,0.07297705075950303,-0.06530436989263294
143,1641412800000,2022-01-06 05:00,long,-0.01859347801706521,-0.08389784790969815
144,1641423600000,2022-01-06 08:00,short,0.0078856554836362,-0.07601219242606194
145,1641434400000,2022-01-06 11:00,long,-0.011388742350196135,-0.08740093477625807
146,1641445200000,2022-01-06 14:00,short,0.02793124962066076,-0.05946968515559731
147,1641484800000,2022-01-07 01:00,long,-0.022102604600848872,-0.08157228975644618
148,1641495600000,2022-01-07 04:00,short,0.023512374637159408,-0.058059915119286765
149,1641531600000,2022-01-07 14:00,short,0.018919255290383876,-0.039140659828902885
150,1641535200000,2022-01-07 15:00,long,-0.017939648505588133,-0.057080308334491014
151,1641542400000,2022-01-07 17:00,short,0.027911392588979813,-0.0291689157455112
152,1641549600000,2022-01-07 19:00,long,-0.025243281665964654,-0.054412197411475856
153,1641567600000,2022-01-08 00:00,long,0.0037552602401290888,-0.05065693717134677
154,1641765600000,2022-01-10 07:00,short,0.004028106817821753,-0.04662883035352502
155,1641837600000,2022-01-11 03:00,short,-0.027306958677227298,-0.07393578903075232
156,1641841200000,2022-01-11 04:00,long,0.03699384109569994,-0.03694194793505238
157,1641916800000,2022-01-12 01:00,long,0.019075423197822208,-0.01786652473723017
158,1641924000000,2022-01-12 03:00,short,-0.020628596656627394,-0.038495121393857565
159,1642086000000,2022-01-14 00:00,short,0.002038212294252185,-0.03645690909960538
160,1642161600000,2022-01-14 21:00,short,-0.015635989402898873,-0.05209289850250426
161,1642255200000,2022-01-15 23:00,long,0.002011981807929964,-0.0500809166945743
162,1642341600000,2022-01-16 23:00,long,-0.01722478705112904,-0.06730570374570334
163,1642356000000,2022-01-17 03:00,short,0.020032934124851878,-0.04727276962085146
164,1642449600000,2022-01-18 05:00,long,-0.010001196091362052,-0.05727396571221351
165,1642500000000,2022-01-18 19:00,long,-0.01242814686500946,-0.06970211257722297
166,1642507200000,2022-01-18 21:00,short,-0.009110965100050583,-0.07881307767727355
167,1642518000000,2022-01-19 00:00,long,0.008281237482077231,-0.07053184019519632
168,1642532400000,2022-01-19 04:00,long,0.0030000004550899914,-0.06753183974010632
169,1642543200000,2022-01-19 07:00,long,-0.013817366809858655,-0.08134920654996497
170,1642608000000,2022-01-20 01:00,short,-0.030048802032239228,-0.1113980085822042
171,1642672800000,2022-01-20 19:00,long,-0.07713249981848666,-0.18853050840069085
172,1642680000000,2022-01-20 21:00,short,0.08278294224600571,-0.10574756615468514
173,1642705200000,2022-01-21 04:00,short,0.11357080564393376,0.007823239489248623
174,1642734000000,2022-01-21 12:00,long,-0.06100183806956692,-0.053178598580318294
175,1642741200000,2022-01-21 14:00,short,0.08109346817469446,0.02791486959437616
176,1642755600000,2022-01-21 18:00,long,-0.09125304635279971,-0.06333817675842354
177,1642784400000,2022-01-22 02:00,short,0.10285688624073222,0.03951870948230868
178,1642798800000,2022-01-22 06:00,long,-0.05637161099763908,-0.0168529015153304
179,1642813200000,2022-01-22 10:00,short,0.030360081158714938,0.013507179643384538
180,1642986000000,2022-01-24 10:00,short,-0.013845309727214072,-0.0003381300838295343
181,1643058000000,2022-01-25 06:00,short,0.004738305686391242,0.004400175602561708
182,1643061600000,2022-01-25 07:00,long,0.010282627714984472,0.01468280331754618
183,1643223600000,2022-01-27 04:00,short,0.031159141260462066,0.04584194457800825
184,1643227200000,2022-01-27 05:00,long,-0.033773551629956745,0.012068392948051503
185,1644505200000,2022-02-11 00:00,long,-0.03381781198581855,-0.021749419037767045
186,1645120800000,2022-02-18 03:00,long,-0.025079865388587173,-0.046829284426354215
187,1645398000000,2022-02-21 08:00,short,0.03413638746492211,-0.012692896961432103
188,1645441200000,2022-02-21 20:00,short,-0.0019019298411387712,-0.014594826802570874
189,1645455600000,2022-02-22 00:00,long,-0.02497441661179309,-0.039569243414363964
190,1645473600000,2022-02-22 05:00,long,-0.014419235106662853,-0.05398847852102682
191,1645509600000,2022-02-22 15:00,short,-0.030430814745716937,-0.08441929326674376
192,1645678800000,2022-02-24 14:00,long,0.10689037935401316,0.0224710860872694
193,1645689600000,2022-02-24 17:00,short,-0.08323944478060738,-0.06076835869333798
194,1645693200000,2022-02-24 18:00,long,0.09224031067235453,0.031471951979016546
195,1645736400000,2022-02-25 06:00,long,0.014320774646510737,0.04579272662552728
196,1646503200000,2022-03-06 03:00,long,-0.013489436520426978,0.0323032901051003
197,1646575200000,2022-03-06 23:00,long,0.0009138843965645023,0.0332171745016648
198,1646582400000,2022-03-07 01:00,short,0.0096249022585583,0.0428420767602231
199,1646668800000,2022-03-08 01:00,short,0.011164825735604423,0.05400690249582752
200,1646766000000,2022-03-09 04:00,short,-0.0918785639817222,-0.03787166148589468
201,1646794800000,2022-03-09 12:00,short,0.009136624772101332,-0.02873503671379335
202,1646802000000,2022-03-09 14:00,long,-0.055066271367585996,-0.08380130808137934
203,1646985600000,2022-03-11 17:00,long,0.0008229565734227069,-0.08297835150795663
204,1647007200000,2022-03-11 23:00,short,0.009150362763033515,-0.0738279887449231
205,1647306000000,2022-03-15 10:00,short,-0.01763065202363032,-0.09145864076855342
206,1647460800000,2022-03-17 05:00,long,-0.013180445108789884,-0.1046390858773433
207,1647885600000,2022-03-22 03:00,long,0.03882946353837626,-0.06580962233896703
208,1647914400000,2022-03-22 11:00,long,0.010172331524913059,-0.055637290814053976
209,1648047600000,2022-03-24 00:00,long,0.03140237333768372,-0.024234917476370257
210,1648803600000,2022-04-01 18:00,long,0.034218000477054165,0.009983083000683908
211,1648832400000,2022-04-02 02:00,short,-0.00023791369067824796,0.00974516931000566
212,1649098800000,2022-04-05 04:00,short,-0.0032957686367981235,0.006449400673207536
213,1649329200000,2022-04-07 20:00,short,0.00890819400382994,0.015357594677037475
214,1649426400000,2022-04-08 23:00,short,0.028893454846727364,0.04425104952376484
215,1649430000000,2022-04-09 00:00,long,-0.03430830434648167,0.00994274517728317
216,1649437200000,2022-04-09 02:00,short,0.008096277230443061,0.01803902240772623
217,1649746800000,2022-04-12 16:00,long,-0.0005059054436154835,0.017533116964110747
218,1649750400000,2022-04-12 17:00,short,-0.00026218554349741673,0.017270931420613332
219,1649772000000,2022-04-12 23:00,long,0.015320900498539425,0.032591831919152756
220,1649858400000,2022-04-13 23:00,long,-0.005010676650812984,0.02758115526833977
221,1649872800000,2022-04-14 03:00,short,0.03920760573239681,0.06678876100073658
222,1650009600000,2022-04-15 17:00,short,-0.006268178515840583,0.060520582484895995
223,1650034800000,2022-04-16 00:00,short,0.008471000473818458,0.06899158295871445
224,1650214800000,2022-04-18 02:00,short,-0.0050470584563529815,0.06394452450236147
225,1650254400000,2022-04-18 13:00,long,0.05132542583920765,0.11526995034156912
226,1650301200000,2022-04-19 02:00,short,-0.028233191576115455,0.08703675876545366
227,1650463200000,2022-04-20 23:00,short,-0.027330082831098144,0.059706675934355524
228,1650610800000,2022-04-22 16:00,long,-0.02771471945961621,0.03199195647473932
229,1650729600000,2022-04-24 01:00,short,0.008853191320923793,0.04084514779566311
230,1650916800000,2022-04-26 05:00,long,-0.051478609022790646,-0.010633461227127536
231,1651003200000,2022-04-27 05:00,long,0.02471495086364275,0.014081489636515215
232,1651046400000,2022-04-27 17:00,long,0.015285041450013104,0.02936653108652832
233,1651082400000,2022-04-28 03:00,short,-0.031170537585862055,-0.0018040064993337344
234,1651107600000,2022-04-28 10:00,short,-0.006148335133498417,-0.007952341632832151
235,1651165200000,2022-04-29 02:00,long,-0.04237593048375086,-0.05032827211658301
236,1651424400000,2022-05-02 02:00,long,-0.0021368862017969495,-0.05246515831837996
237,1651431600000,2022-05-02 04:00,short,-0.020198839559672475,-0.07266399787805243
238,1651521600000,2022-05-03 05:00,long,-0.01758287184024374,-0.09024686971829617
239,1651690800000,2022-05-05 04:00,long,-0.09214787294505575,-0.18239474266335193
240,1651759200000,2022-05-05 23:00,short,0.0494556361369082,-0.13293910652644372
241,1651773600000,2022-05-06 03:00,long,-0.010419074208805812,-0.14335818073524953
242,1651777200000,2022-05-06 04:00,short,0.006043101598518419,-0.1373150791367311
243,1651788000000,2022-05-06 07:00,long,-0.006163723158931855,-0.14347880229566295
244,1651798800000,2022-05-06 10:00,long,-0.009421413653004062,-0.152900215948667
245,1651802400000,2022-05-06 11:00,short,0.012207397682782806,-0.1406928182658842
246,1651806000000,2022-05-06 12:00,long,-0.018834673202121375,-0.15952749146800557
247,1651845600000,2022-05-06 23:00,long,-0.007143818370536991,-0.16667130983854256
248,1651971600000,2022-05-08 10:00,short,0.0907278258907204,-0.07594348394782216
249,1651982400000,2022-05-08 13:00,short,0.15184542072460663,0.07590193677678447
250,1652032800000,2022-05-09 03:00,long,-0.1772618041107827,-0.10135986733399824
251,1652036400000,2022-05-09 04:00,short,0.1958778033294283,0.09451793599543007
252,1652043600000,2022-05-09 06:00,short,0.21361926242883558,0.3081371984242657
253,1652259600000,2022-05-11 18:00,short,0.09771825481586974,0.4058554532401354
254,1652263200000,2022-05-11 19:00,long,-0.10981317574508584,0.2960422774950495
255,1652270400000,2022-05-11 21:00,short,0.0035767543046948632,0.29961903179974436
256,1652277600000,2022-05-11 23:00,long,-0.09473019894992926,0.2048888328498151
257,1652284800000,2022-05-12 01:00,short,0.05168363763905517,0.2565724704888703
258,1652302800000,2022-05-12 06:00,long,0.01605510149687475,0.272627571985745
259,1652414400000,2022-05-13 13:00,long,-0.042181073246826496,0.2304464987389185
260,1652691600000,2022-05-16 18:00,long,0.03110799064940153,0.26155448938832004
261,1653501600000,2022-05-26 03:00,long,-0.011100498125128566,0.25045399126319146
262,1653508800000,2022-05-26 05:00,short,0.010313070199743169,0.2607670614629346
263,1653573600000,2022-05-26 23:00,long,-0.015357929569339323,0.24540913189359528
264,1653663600000,2022-05-28 00:00,short,-0.005581976214956574,0.23982715567863871
265,1653890400000,2022-05-30 15:00,short,-0.026462870612152443,0.21336428506648628
266,1654128000000,2022-06-02 09:00,long,0.022778333004780073,0.23614261807126635
267,1654300800000,2022-06-04 09:00,short,-0.0031171965962807128,0.23302542147498564
268,1654614000000,2022-06-08 00:00,long,0.018259603513392755,0.2512850249883784
