trade_no,timestamp,timestamp_kst,direction,net_return,cum_net_return
1,1629396000000,2021-08-20 03:00,short,-0.004970824287607733,-0.004970824287607733
2,1629979200000,2021-08-26 21:00,long,-0.002084337965943849,-0.007055162253551583
3,1631030400000,2021-09-08 01:00,short,0.013346298391568557,0.006291136138016974
4,1631487600000,2021-09-13 08:00,long,-0.033121414128364536,-0.02683027799034756
5,1632052800000,2021-09-19 21:00,short,-0.007186481253241039,-0.0340167592435886
6,1632150000000,2021-09-21 00:00,long,-0.0020547707191168377,-0.03607152996270544
7,1632499200000,2021-09-25 01:00,short,-0.019183106328007325,-0.05525463629071277
8,1632877200000,2021-09-29 10:00,long,0.017884655545089247,-0.03736998074562352
9,1636038000000,2021-11-05 00:00,short,-0.003594954179112352,-0.04096493492473587
10,1637056800000,2021-11-16 19:00,long,0.012424010260508123,-0.02854092466422775
11,1637060400000,2021-11-16 20:00,short,-0.0029678527762576393,-0.03150877744048539
12,1637067600000,2021-11-16 22:00,long,0.00037103115983119284,-0.0311377462806542
13,1637071200000,2021-11-16 23:00,short,0.014291863517060488,-0.01684588276359371
14,1637146800000,2021-11-17 20:00,long,-0.017218579146888045,-0.03406446191048175
15,1637236800000,2021-11-18 21:00,short,0.031135480246578442,-0.002928981663903308
16,1637290800000,2021-11-19 12:00,long,0.0022332171252185348,-0.0006957645386847732
17,1637308800000,2021-11-19 17:00,short,0.0011669700883593323,0.00047120554967455906
18,1637434800000,2021-11-21 04:00,long,0.0039278373571402184,0.0043990429068147775
19,1637593200000,2021-11-23 00:00,short,0.035472818670201266,0.03987186157701604
20,1637661600000,2021-11-23 19:00,long,0.012747798103186847,0.052619659680202886
21,1637665200000,2021-11-23 20:00,short,-0.01476913455422788,0.037850525125975004
22,1637762400000,2021-11-24 23:00,long,0.010775415758868112,0.048625940884843115
23,1637946000000,2021-11-27 02:00,short,0.00234602660220209,0.0509719674870452
24,1638003600000,2021-11-27 18:00,long,0.006712847420943602,0.0576848149079888
25,1638025200000,2021-11-28 00:00,short,-0.0014309244217566067,0.056253890486232194
26,1638028800000,2021-11-28 01:00,long,-0.012689025200657266,0.043564865285574926
27,1638100800000,2021-11-28 21:00,short,0.0027077972351960086,0.04627266252077093
28,1638295200000,2021-12-01 03:00,long,-0.012580123782685337,0.033692538738085594
29,1638302400000,2021-12-01 05:00,short,-0.0021695020828279335,0.03152303665525766
30,1638352800000,2021-12-01 19:00,long,0.02521270102476261,0.05673573768002027
31,1638381600000,2021-12-02 03:00,short,0.006464838999283318,0.0632005766793036
32,1638421200000,2021-12-02 14:00,long,-0.004213738274615219,0.05898683840468837
33,1638428400000,2021-12-02 16:00,short,0.007851732639560871,0.06683857104424924
34,1638504000000,2021-12-03 13:00,long,-0.000498370786511914,0.06634020025773733
35,1638529200000,2021-12-03 20:00,short,0.016588801588597015,0.08292900184633435
36,1638568800000,2021-12-04 07:00,long,-0.0058657291809483866,0.07706327266538597
37,1638604800000,2021-12-04 17:00,short,0.007482933514373924,0.0845462061797599
38,1638615600000,2021-12-04 20:00,long,0.0355161329372188,0.1200623391169787
39,1638630000000,2021-12-05 00:00,short,-0.021285095103737637,0.09877724401324106
40,1638648000000,2021-12-05 05:00,long,-0.010339434042879602,0.08843780997036146
41,1639148400000,2021-12-11 00:00,short,-0.004121306188583728,0.08431650378177774
42,1639180800000,2021-12-11 09:00,long,0.015471438298440577,0.09978794208021832
43,1639245600000,2021-12-12 03:00,short,-0.003619991500411456,0.09616795057980687
44,1639422000000,2021-12-14 04:00,long,-8.058485188775432e-05,0.09608736572791912
45,1639432800000,2021-12-14 07:00,short,-0.003485257908502381,0.09260210781941675
46,1639594800000,2021-12-16 04:00,long,0.0020412376376969473,0.0946433454571137
47,1639980000000,2021-12-20 15:00,short,0.014385786540181323,0.10902913199729503
48,1641294000000,2022-01-04 20:00,long,0.0036462089489261115,0.11267534094622114
49,1641312000000,2022-01-05 01:00,short,0.00983660533853994,0.12251194628476109
50,1641326400000,2022-01-05 05:00,long,-0.0016060951332654608,0.12090585115149563
51,1641384000000,2022-01-05 21:00,short,-0.002820260799466378,0.11808559035202926
52,1641391200000,2022-01-05 23:00,long,-0.019629827152429533,0.09845576319959973
53,1641398400000,2022-01-06 01:00,short,0.051136206089387425,0.14959196928898716
54,1641412800000,2022-01-06 05:00,long,-0.006365599716084169,0.143226369572903
55,1641423600000,2022-01-06 08:00,short,0.013779394604295248,0.15700576417719825
56,1641484800000,2022-01-07 01:00,long,0.004567489974706707,0.16157325415190496
57,1641495600000,2022-01-07 04:00,short,0.006274951679788665,0.16784820583169363
58,1641535200000,2022-01-07 15:00,long,0.016629375445774388,0.18447758127746802
59,1641765600000,2022-01-10 07:00,short,0.00961357760779904,0.19409115888526707
60,1641841200000,2022-01-11 04:00,long,0.009058560165815433,0.2031497190510825
61,1641924000000,2022-01-12 03:00,short,-0.0005669096134688127,0.2025828094376137
62,1642255200000,2022-01-15 23:00,long,0.0035542754294607634,0.20613708486707447
63,1642356000000,2022-01-17 03:00,short,-0.0029886496115512965,0.20314843525552317
64,1642449600000,2022-01-18 05:00,long,0.004498543648677212,0.2076469789042004
65,1642507200000,2022-01-18 21:00,short,0.001735658217304948,0.20938263712150534
66,1642543200000,2022-01-19 07:00,long,-0.004741988118703721,0.20464064900280163
67,1642608000000,2022-01-20 01:00,short,0.010106014640329142,0.21474666364313078
68,1642672800000,2022-01-20 19:00,long,0.019733626162709152,0.23448028980583993
69,1642784400000,2022-01-22 02:00,short,0.037414824132553724,0.27189511393839366
70,1643061600000,2022-01-25 07:00,long,-0.0035586252415446876,0.26833648869684895
71,1643223600000,2022-01-27 04:00,short,0.017394924139529724,0.28573141283637865
72,1643227200000,2022-01-27 05:00,long,-0.001905536702507015,0.2838258761338716
73,1646582400000,2022-03-07 01:00,short,0.007443361820232331,0.2912692379541039
