trade_no,timestamp,timestamp_kst,direction,gross_return,net_return,pnl_amount,capital_before,capital_after
1,1629979200000,2021-08-26 21:00,short,-0.008517390364100708,-0.009317390364100708,-93.17390364100709,10000.0,9906.826096358993
2,1634814000000,2021-10-21 20:00,long,-0.022190011786056285,-0.022990011786056284,-227.75804871770322,9906.826096358993,9679.068047641289
3,1635966000000,2021-11-04 04:00,short,0.026840647719756694,0.026040647719756695,252.04920128418001,9679.068047641289,9931.11724892547
4,1636038000000,2021-11-05 00:00,long,-0.004890187173983818,-0.005690187173983818,-56.509915993165166,9931.11724892547,9874.607332932304
5,1636747200000,2021-11-13 05:00,long,0.004034262604301508,0.0032342626043015085,31.937073229064406,9874.607332932304,9906.544406161369
6,1637146800000,2021-11-17 20:00,short,0.023233791720325914,0.022433791720325915,222.24135387598392,9906.544406161369,10128.785760037354
7,1637593200000,2021-11-23 00:00,long,-0.021229796182851812,-0.02202979618285181,-223.13508587339467,10128.785760037354,9905.650674163959
8,1637661600000,2021-11-23 19:00,short,0.006450175488541099,0.0056501754885410985,55.96866463721181,9905.650674163959,9961.61933880117
9,1637665200000,2021-11-23 20:00,long,0.00824353639697617,0.0074435363969761695,74.1496761211882,9961.61933880117,10035.769014922358
10,1637686800000,2021-11-24 02:00,short,0.013322937707502702,0.012522937707502702,125.67731022075844,10035.769014922358,10161.446325143117
11,1638003600000,2021-11-27 18:00,short,0.007190146952195664,0.006390146952195664,64.93313526451311,10161.446325143117,10226.37946040763
12,1638007200000,2021-11-27 19:00,long,-0.00011627324962648622,-0.0009162732496264863,-9.370157940101253,10226.37946040763,10217.00930246753
13,1638028800000,2021-11-28 01:00,short,0.013068019289020905,0.012268019289020904,125.34246719877767,10217.00930246753,10342.351769666308
14,1638100800000,2021-11-28 21:00,long,0.04642047535489224,0.04562047535489224,471.8230040196879,10342.351769666308,10814.174773685996
15,1638295200000,2021-12-01 03:00,short,0.009651700949349973,0.008851700949349972,95.72384111067285,10814.174773685996,10909.89861479667
16,1638302400000,2021-12-01 05:00,long,-0.013408664066549392,-0.014208664066549392,-155.01508441775843,10909.89861479667,10754.883530378911
17,1638345600000,2021-12-01 17:00,short,-0.0011694091635365833,-0.0019694091635365832,-21.180766177496906,10754.883530378911,10733.702764201415
18,1638349200000,2021-12-01 18:00,long,-0.007863485343504784,-0.008663485343504784,-92.99127657919574,10733.702764201415,10640.711487622219
19,1638352800000,2021-12-01 19:00,short,0.007729128330956958,0.006929128330956958,73.73085543042227,10640.711487622219,10714.44234305264
20,1638381600000,2021-12-02 03:00,long,-0.014087970773153935,-0.014887970773153935,-159.51630445401068,10714.44234305264,10554.926038598629
