trade_no,timestamp,timestamp_kst,direction,gross_return,net_return,pnl_amount,capital_before,capital_after
1,1629396000000,2021-08-20 03:00,long,0.06352568907226197,0.06272568907226198,627.2568907226198,10000.0,10627.25689072262
2,1629979200000,2021-08-26 21:00,short,-0.04163993624521645,-0.04243993624521645,-451.0201049038052,10627.25689072262,10176.236785818814
3,1630526400000,2021-09-02 05:00,long,0.04027012145889963,0.03947012145889963,401.65730193079094,10176.236785818814,10577.894087749604
4,1631026800000,2021-09-08 00:00,short,-0.008604157982520455,-0.009404157982520455,-99.47618712356638,10577.894087749604,10478.417900626038
5,1631030400000,2021-09-08 01:00,long,-0.005232482329229793,-0.006032482329229793,-63.210870823811725,10478.417900626038,10415.207029802226
6,1631487600000,2021-09-13 08:00,short,-0.02243893065336211,-0.02323893065336211,-242.0382739059835,10415.207029802226,10173.168755896242
7,1632052800000,2021-09-19 21:00,long,-0.08544862644946138,-0.08624862644946138,-877.4218318346268,10173.168755896242,9295.746924061616
8,1632150000000,2021-09-21 00:00,short,0.015439372997220202,0.014639372997220202,136.08390650910036,9295.746924061616,9431.830830570716
9,1632211200000,2021-09-21 17:00,long,0.01299624489061002,0.01219624489061002,115.03291857644615,9431.830830570716,9546.863749147162
10,1632495600000,2021-09-25 00:00,short,-0.035253433931331735,-0.03605343393133174,-344.1972214313032,9546.863749147162,9202.666527715859
11,1632499200000,2021-09-25 01:00,long,0.02632484177934269,0.02552484177934269,234.8966070680003,9202.666527715859,9437.563134783859
12,1632877200000,2021-09-29 10:00,short,-0.05549835820483229,-0.05629835820483229,-531.3193099427816,9437.563134783859,8906.243824841078
13,1634814000000,2021-10-21 20:00,long,-0.05067193948574278,-0.05147193948574278,-458.4216431974903,8906.243824841078,8447.822181643587
14,1635966000000,2021-11-04 04:00,short,0.02901310635121901,0.02821310635121901,238.33930564689751,8447.822181643587,8686.161487290485
15,1636038000000,2021-11-05 00:00,long,-0.006715194316544326,-0.0075151943165443266,-65.27819144187167,8686.161487290485,8620.883295848613
16,1636743600000,2021-11-13 04:00,short,-0.00506281130059083,-0.005862811300590831,-50.542612007975976,8620.883295848613,8570.340683840637
17,1636747200000,2021-11-13 05:00,long,0.0014529211351506088,0.0006529211351506088,5.595756567920674,8570.340683840637,8575.936440408557
18,1637056800000,2021-11-16 19:00,short,0.006582291148316988,0.005782291148316987,49.588561367903495,8575.936440408557,8625.525001776461
19,1637060400000,2021-11-16 20:00,long,-0.022314499503369056,-0.023114499503369055,-199.3746933698594,8625.525001776461,8426.150308406603
20,1637067600000,2021-11-16 22:00,short,0.02204584816037214,0.02124584816037214,179.02071002887956,8426.150308406603,8605.171018435482
21,1637071200000,2021-11-16 23:00,long,-0.03369704349526648,-0.03449704349526648,-296.8529589071753,8605.171018435482,8308.318059528307
22,1637146800000,2021-11-17 20:00,short,0.060326518753218816,0.059526518753218814,494.5652507782183,8308.318059528307,8802.883310306524
23,1637236800000,2021-11-18 21:00,long,-0.010318679821281207,-0.011118679821281207,-97.87644103139827,8802.883310306524,8705.006869275127
24,1637265600000,2021-11-19 05:00,short,-0.02431061975299098,-0.02511061975299098,-218.58811744154215,8705.006869275127,8486.418751833584
25,1637308800000,2021-11-19 17:00,long,0.02986227789936291,0.02906227789936291,246.63466013615215,8486.418751833584,8733.053411969737
26,1637434800000,2021-11-21 04:00,short,0.05580673735349406,0.05500673735349406,480.37677532625446,8733.053411969737,9213.430187295991
27,1637593200000,2021-11-23 00:00,long,-0.023947404000362105,-0.024747404000362103,-228.00847907414578,9213.430187295991,8985.421708221846
28,1637661600000,2021-11-23 19:00,short,-0.02139119530007072,-0.02219119530007072,-199.39724798064603,8985.421708221846,8786.0244602412
29,1637665200000,2021-11-23 20:00,long,0.03173129312485701,0.03093129312485701,271.76309798188413,8786.0244602412,9057.787558223084
30,1637686800000,2021-11-24 02:00,short,-0.03221067149452894,-0.033010671494528944,-299.0036495517337,9057.787558223084,8758.78390867135
31,1637946000000,2021-11-27 02:00,long,-0.006346391905633575,-0.007146391905633575,-62.59370242812255,8758.78390867135,8696.190206243227
32,1638003600000,2021-11-27 18:00,short,-0.03966544888705381,-0.04046544888705381,-351.89524030283326,8696.190206243227,8344.294965940395
33,1638007200000,2021-11-27 19:00,long,0.044541240377087066,0.043741240377087064,364.98981188251634,8344.294965940395,8709.284777822912
34,1638028800000,2021-11-28 01:00,short,-0.04521031602523995,-0.04601031602523995,-400.7169449814439,8709.284777822912,8308.567832841467
35,1638100800000,2021-11-28 21:00,long,0.0644394526593115,0.06363945265931151,528.752709264793,8308.567832841467,8837.32054210626
36,1638295200000,2021-12-01 03:00,short,0.02360369884161828,0.022803698841618283,201.52359620903795,8837.32054210626,9038.844138315297
37,1638302400000,2021-12-01 05:00,long,-0.009097133309597827,-0.009897133309597827,-89.4586454015834,9038.844138315297,8949.385492913714
38,1638345600000,2021-12-01 17:00,short,0.005828056764959899,0.005028056764959899,44.99801826987878,8949.385492913714,8994.383511183592
39,1638349200000,2021-12-01 18:00,long,-0.0070992788435660925,-0.007899278843566093,-71.04914338081227,8994.383511183592,8923.33436780278
40,1638352800000,2021-12-01 19:00,short,0.0027960117789058714,0.0019960117789058715,17.811080505249926,8923.33436780278,8941.145448308029
41,1638381600000,2021-12-02 03:00,long,-0.043719961797635265,-0.04451996179763527,-398.0594537857739,8941.145448308029,8543.085994522255
42,1638421200000,2021-12-02 14:00,short,0.1650365579967602,0.1642365579967602,1403.087038410664,8543.085994522255,9946.173032932918
43,1638428400000,2021-12-02 16:00,long,-0.1691041916380609,-0.1699041916380609,-1689.896489052748,9946.173032932918,8256.27654388017
44,1638504000000,2021-12-03 13:00,short,0.13603229856232546,0.13523229856232546,1116.5152545951278,8256.27654388017,9372.791798475298
45,1638518400000,2021-12-03 17:00,long,-0.12437524765266605,-0.12517524765266605,-1173.2415345710226,9372.791798475298,8199.550263904275
46,1638525600000,2021-12-03 19:00,short,0.13292374180600663,0.13212374180600664,1083.3552619934621,8199.550263904275,9282.905525897737
47,1638529200000,2021-12-03 20:00,long,-0.13747886259304798,-0.13827886259304797,-1283.629617679859,9282.905525897737,7999.275908217878
48,1638568800000,2021-12-04 07:00,short,0.0826791404023437,0.0818791404023437,654.9738352060571,7999.275908217878,8654.249743423936
49,1638604800000,2021-12-04 17:00,long,0.021503056643901397,0.0207030566439014,179.16942264857488,8654.249743423936,8833.41916607251
50,1638615600000,2021-12-04 20:00,short,-0.05270903792570314,-0.05350903792570314,-472.66776117100693,8833.41916607251,8360.751404901503
51,1638630000000,2021-12-05 00:00,long,0.01999950403305184,0.01919950403305184,160.52228031775024,8360.751404901503,8521.273685219252
52,1638648000000,2021-12-05 05:00,short,-0.027410974006028654,-0.028210974006028653,-240.3934304319763,8521.273685219252,8280.880254787276
53,1639065600000,2021-12-10 01:00,long,0.008793584785022457,0.007993584785022457,66.19391841126046,8280.880254787276,8347.074173198536
54,1639180800000,2021-12-11 09:00,short,-0.03885569710272185,-0.039655697102721855,-331.00904510631364,8347.074173198536,8016.065128092223
55,1639245600000,2021-12-12 03:00,long,-0.027799668739771466,-0.028599668739771465,-229.2568072598713,8016.065128092223,7786.8083208323515
56,1639422000000,2021-12-14 04:00,short,-0.04248860515939934,-0.04328860515939934,-337.0800708524371,7786.8083208323515,7449.728249979915
57,1639432800000,2021-12-14 07:00,long,0.037202450263202014,0.03640245026320201,271.1883620942648,7449.728249979915,7720.916612074179
58,1639594800000,2021-12-16 04:00,short,0.040958849976023615,0.04015884997602361,310.0631319016755,7720.916612074179,8030.979743975855
59,1639753200000,2021-12-18 00:00,long,0.015161899442554638,0.014361899442554638,115.34012350817441,8030.979743975855,8146.31986748403
60,1639922400000,2021-12-19 23:00,short,-0.025837755037334542,-0.02663775503733454,-216.99967308581117,8146.31986748403,7929.3201943982185
61,1639980000000,2021-12-20 15:00,long,0.05403697809462327,0.053236978094623265,422.1330454944318,7929.3201943982185,8351.45323989265
62,1640869200000,2021-12-30 22:00,short,0.0010980546768688537,0.0002980546768688537,2.489189696801545,8351.45323989265,8353.942429589451
63,1641063600000,2022-01-02 04:00,long,-0.019462658804387356,-0.020262658804387355,-169.2730851222658,8353.942429589451,8184.6693444671855
64,1641204000000,2022-01-03 19:00,short,0.007229200641714062,0.006429200641714062,52.620881401665834,8184.6693444671855,8237.290225868852
65,1641218400000,2022-01-03 23:00,long,-0.0018433696883242146,-0.0026433696883242145,-21.774203296991047,8237.290225868852,8215.516022571861
66,1641294000000,2022-01-04 20:00,short,0.0823691232826973,0.0815691232826973,670.1324392761392,8215.516022571861,8885.648461848
67,1641301200000,2022-01-04 22:00,long,-0.08186710749883508,-0.08266710749883507,-734.5508565924472,8885.648461848,8151.097605255553
68,1641304800000,2022-01-04 23:00,short,0.09707340846259194,0.09627340846259194,784.7339491692229,8151.097605255553,8935.831554424776
69,1641312000000,2022-01-05 01:00,long,-0.08317703994261794,-0.08397703994261793,-750.404683366435,8935.831554424776,8185.426871058341
70,1641326400000,2022-01-05 05:00,short,0.06834636992055576,0.06754636992055577,552.8958713901641,8185.426871058341,8738.322742448505
71,1641384000000,2022-01-05 21:00,long,-0.08208437092801668,-0.08288437092801668,-724.2703834738259,8738.322742448505,8014.052358974679
72,1641391200000,2022-01-05 23:00,short,0.10425487960326862,0.10345487960326863,829.0928219320164,8014.052358974679,8843.145180906695
73,1641398400000,2022-01-06 01:00,long,-0.0935080120194055,-0.0943080120194055,-833.9794420102965,8843.145180906695,8009.165738896399
74,1641412800000,2022-01-06 05:00,short,0.04432896221638416,0.04352896221638416,348.63067283317986,8009.165738896399,8357.796411729578
75,1641423600000,2022-01-06 08:00,long,-0.0360390330322744,-0.036839033032274406,-307.89313808873044,8357.796411729578,8049.903273640847
