trade_no,timestamp,timestamp_kst,direction,gross_return,net_return,pnl_amount,capital_before,capital_after
1,1629979200000,2021-08-26 21:00,short,-0.008517390364100708,-0.009317390364100708,-93.17390364100709,10000.0,9906.826096358993
2,1630411200000,2021-08-31 21:00,short,0.002571566038980344,0.0017715660389803442,17.550596666393805,9906.826096358993,9924.376693025386
3,1631026800000,2021-09-08 00:00,short,0.013496356548100996,0.012696356548100996,126.00342501231377,9924.376693025386,10050.3801180377
4,1631030400000,2021-09-08 01:00,long,-0.022258913947613812,-0.02305891394761381,-231.75085028264004,10050.3801180377,9818.62926775506
5,1631487600000,2021-09-13 08:00,short,0.024113007807474718,0.02331300780747472,228.90178077787348,9818.62926775506,10047.531048532932
6,1632182400000,2021-09-21 09:00,short,0.01549424121613241,0.014694241216132409,147.64084485372268,10047.531048532932,10195.171893386654
7,1632495600000,2021-09-25 00:00,short,-0.017991124674314518,-0.018791124674314517,-191.5787461246958,10195.171893386654,10003.593147261958
8,1632499200000,2021-09-25 01:00,long,0.01068983933678136,0.009889839336781359,98.93392901694774,10003.593147261958,10102.527076278906
9,1632963600000,2021-09-30 10:00,short,-0.018073817828156313,-0.018873817828156312,-190.67325564170469,10102.527076278906,9911.853820637201
10,1636038000000,2021-11-05 00:00,long,-0.004890187173983818,-0.005690187173983818,-56.40030348059231,9911.853820637201,9855.45351715661
11,1636747200000,2021-11-13 05:00,long,0.004034262604301508,0.0032342626043015085,31.875124758971396,9855.45351715661,9887.328641915581
12,1636819200000,2021-11-14 01:00,long,-0.014823684060434217,-0.015623684060434217,-154.47649890297117,9887.328641915581,9732.85214301261
13,1637028000000,2021-11-16 11:00,long,-0.03416912799217575,-0.034969127992175754,-340.34935231793,9732.85214301261,9392.50279069468
14,1637056800000,2021-11-16 19:00,short,-0.003328630905217622,-0.0041286309052176225,-38.778177299004824,9392.50279069468,9353.724613395674
15,1637060400000,2021-11-16 20:00,long,0.000941158906977213,0.000141158906977213,1.3203615425927877,9353.724613395674,9355.044974938268
16,1637067600000,2021-11-16 22:00,short,0.005065152148468366,0.0042651521484683656,39.90069017387614,9355.044974938268,9394.945665112144
17,1637071200000,2021-11-16 23:00,long,-0.02069459797960327,-0.021494597979603267,-201.94058011180195,9394.945665112144,9193.00508500034
18,1637146800000,2021-11-17 20:00,short,0.023233791720325914,0.022433791720325915,206.2339613607947,9193.00508500034,9399.239046361135
19,1637168400000,2021-11-18 02:00,short,0.04242714449905449,0.04162714449905449,391.2634819640301,9399.239046361135,9790.502528325165
20,1637258400000,2021-11-19 03:00,long,-0.002797236302956696,-0.003597236302956696,-35.2187511190806,9790.502528325165,9755.283777206085
21,1637290800000,2021-11-19 12:00,short,-0.046444508886791525,-0.04724450888679153,-460.8835911053861,9755.283777206085,9294.400186100698
22,1637308800000,2021-11-19 17:00,long,0.026011982612734963,0.025211982612734964,234.33025588777141,9294.400186100698,9528.73044198847
23,1637427600000,2021-11-21 02:00,long,0.027088553603429988,0.02628855360342999,250.496540996849,9528.73044198847,9779.226982985318
24,1637434800000,2021-11-21 04:00,short,0.0012392215472299961,0.0004392215472299961,4.295247206180138,9779.226982985318,9783.522230191498
25,1637593200000,2021-11-23 00:00,long,-0.021229796182851812,-0.02202979618285181,-215.5290006815185,9783.522230191498,9567.993229509979
26,1637661600000,2021-11-23 19:00,short,0.006450175488541099,0.0056501754885410985,54.06084081990447,9567.993229509979,9622.054070329883
27,1637665200000,2021-11-23 20:00,long,0.00824353639697617,0.0074435363969761695,71.62210968617319,9622.054070329883,9693.676180016057
28,1637683200000,2021-11-24 01:00,long,-0.015364675160470798,-0.016164675160470796,-156.69512656075298,9693.676180016057,9536.981053455303
29,1637827200000,2021-11-25 17:00,short,0.04965220949441129,0.04885220949441129,465.90259636762977,9536.981053455303,10002.883649822934
30,1637845200000,2021-11-25 22:00,short,0.06658521096744385,0.06578521096744386,658.0418111863966,10002.883649822934,10660.92546100933
31,1637938800000,2021-11-27 00:00,short,-0.010213905804681955,-0.011013905804681956,-117.41842881829231,10660.92546100933,10543.507032191039
32,1637946000000,2021-11-27 02:00,long,0.011296002891187262,0.010496002891187262,110.66468029313037,10543.507032191039,10654.171712484169
33,1638003600000,2021-11-27 18:00,short,0.007190146952195664,0.006390146952195664,68.08172289669997,10654.171712484169,10722.25343538087
34,1638025200000,2021-11-28 00:00,long,-0.011407273826390063,-0.012207273826390063,-130.88948372164583,10722.25343538087,10591.363951659223
35,1638028800000,2021-11-28 01:00,short,0.013068019289020905,0.012268019289020904,129.935057255996,10591.363951659223,10721.299008915219
36,1638100800000,2021-11-28 21:00,long,0.04642047535489224,0.04562047535489224,489.1107572086474,10721.299008915219,11210.409766123867
37,1638158400000,2021-11-29 13:00,long,-0.0009766961145288855,-0.0017766961145288854,-19.917491473748946,11210.409766123867,11190.492274650118
38,1638216000000,2021-11-30 05:00,long,-0.010365886989828765,-0.011165886989828766,-124.95177209929506,11190.492274650118,11065.540502550823
39,1638288000000,2021-12-01 01:00,long,0.030376530284889736,0.029576530284889737,327.2802937923684,11065.540502550823,11392.82079634319
40,1638295200000,2021-12-01 03:00,short,0.009651700949349973,0.008851700949349972,100.84584265876512,11392.82079634319,11493.666639001956
41,1638349200000,2021-12-01 18:00,long,-0.007863485343504784,-0.008663485343504784,-99.57521247012333,11493.666639001956,11394.091426531833
42,1638352800000,2021-12-01 19:00,short,0.007729128330956958,0.006929128330956958,78.9511217090955,11394.091426531833,11473.042548240928
43,1638381600000,2021-12-02 03:00,long,-0.014087970773153935,-0.014887970773153935,-170.81032213736248,11473.042548240928,11302.232226103566
44,1638460800000,2021-12-03 01:00,long,-0.021616215543935335,-0.022416215543935334,-253.3532737079496,11302.232226103566,11048.878952395617
45,1638482400000,2021-12-03 07:00,long,-0.060332977944805855,-0.06113297794480586,-675.4508733116309,11048.878952395617,10373.428079083986
46,1638504000000,2021-12-03 13:00,short,0.14897228027528042,0.14817228027528043,1537.0544927494961,10373.428079083986,11910.482571833481
47,1638525600000,2021-12-03 19:00,short,0.16637727497284616,0.16557727497284616,1972.1052478557642,11910.482571833481,13882.587819689246
48,1638529200000,2021-12-03 20:00,long,-0.18343480547176017,-0.18423480547176016,-2557.6558664050754,13882.587819689246,11324.931953284171
49,1638565200000,2021-12-04 06:00,long,-0.09182302011735144,-0.09262302011735143,-1048.9494001366759,11324.931953284171,10275.982553147494
50,1638568800000,2021-12-04 07:00,short,0.08102017829110031,0.08022017829110031,824.3411525297282,10275.982553147494,11100.323705677223
51,1638579600000,2021-12-04 10:00,short,0.07385851383577136,0.07305851383577136,810.9731530327603,11100.323705677223,11911.296858709984
52,1638630000000,2021-12-05 00:00,long,-0.004473040824201524,-0.005273040824201524,-62.80875460516112,11911.296858709984,11848.488104104823
53,1638716400000,2021-12-06 00:00,short,-0.024582503398515865,-0.025382503398515863,-300.7442895697154,11848.488104104823,11547.743814535108
54,1638831600000,2021-12-07 08:00,short,-0.0024647878608159424,-0.0032647878608159423,-37.7009338255066,11547.743814535108,11510.042880709601
