threshold,mode,hold_hours,cost,trend_filter_abs_24h,n,win_rate,avg,median,std,sum
0.05,raw,1,0.0004,none,3689,0.46245595012198426,-0.0002209907290575746,-0.0004,0.00724868630430922,-0.8152347994933927
0.05,raw,1,0.0004,0.02,1913,0.4511238891792995,-0.0003054767133215084,-0.00043957647310581793,0.006387397153687503,-0.5843769525840457
0.05,raw,1,0.0006,none,3689,0.44754676063973975,-0.0004209907290575808,-0.0006,0.00724868630430922,-1.5530347994934155
0.05,raw,1,0.0006,0.02,1913,0.43230527966544696,-0.0005054767133215218,-0.0006395764731058179,0.006387397153687503,-0.9669769525840712
0.05,raw,1,0.0008,none,3689,0.43155326646787745,-0.0006209907290575582,-0.0008,0.00724868630430922,-2.2908347994933322
0.05,raw,1,0.0008,0.02,1913,0.41662310507056977,-0.0007054767133215085,-0.000839576473105818,0.006387397153687503,-1.3495769525840458
0.05,raw,4,0.0004,none,3689,0.4768229872594199,-0.0002408619211156568,-0.000521436349137638,0.014355496522863415,-0.8885396269956579
0.05,raw,4,0.0004,0.02,1913,0.47412441191845267,-3.21527717406869e-05,-0.0005489992571322984,0.012152242248092996,-0.06150825233993404
0.05,raw,4,0.0006,none,3689,0.46706424505285987,-0.0004408619211156638,-0.000721436349137638,0.014355496522863415,-1.6263396269956838
0.05,raw,4,0.0006,0.02,1913,0.4647151071615264,-0.00023215277174068512,-0.0007489992571322984,0.012152242248092996,-0.4441082523399306
0.05,raw,4,0.0008,none,3689,0.45811873136351317,-0.0006408619211156494,-0.000921436349137638,0.014355496522863415,-2.3641396269956307
0.05,raw,4,0.0008,0.02,1913,0.45426032409827494,-0.00043215277174069684,-0.0009489992571322985,0.012152242248092996,-0.826708252339953
0.05,raw,24,0.0004,none,3685,0.4814111261872456,-0.0005184983720413385,-0.001018223028151288,0.034034179379120566,-1.9106665009723325
0.05,raw,24,0.0004,0.02,1912,0.47384937238493724,-0.0008891410507191071,-0.0013535290725812273,0.029399597850150467,-1.7000376889749327
0.05,raw,24,0.0006,none,3685,0.47842605156037993,-0.000718498372041346,-0.0012182230281512878,0.034034179379120566,-2.64766650097236
0.05,raw,24,0.0006,0.02,1912,0.47175732217573224,-0.00108914105071912,-0.0015535290725812272,0.029399597850150467,-2.082437688974957
0.05,raw,24,0.0008,none,3685,0.47489823609226595,-0.000918498372041334,-0.0014182230281512879,0.034034179379120566,-3.384666500972316
0.05,raw,24,0.0008,0.02,1912,0.46914225941422594,-0.001289141050719107,-0.0017535290725812273,0.029399597850150467,-2.464837688974933
0.05,raw,48,0.0004,none,3685,0.4909090909090909,-0.0006650271552623067,-0.0007959980200098911,0.04549590204240194,-2.4506250671416003
0.05,raw,48,0.0004,0.02,1912,0.4827405857740586,-0.0012857161832390113,-0.0013126471845629646,0.042529671104374264,-2.4582893423529897
0.05,raw,48,0.0006,none,3685,0.48792401628222526,-0.0008650271552623169,-0.000995998020009891,0.04549590204240194,-3.1876250671416377
0.05,raw,48,0.0006,0.02,1912,0.4801255230125523,-0.00148571618323901,-0.0015126471845629645,0.042529671104374264,-2.840689342352987
0.05,raw,48,0.0008,none,3685,0.4852103120759837,-0.001065027155262302,-0.001195998020009891,0.04549590204240194,-3.924625067141583
0.05,raw,48,0.0008,0.02,1912,0.4769874476987448,-0.0016857161832389991,-0.0017126471845629646,0.042529671104374264,-3.2230893423529663
0.05,alternating,1,0.0004,none,2720,0.4672794117647059,-0.00016973444412831247,-0.00038290251597315994,0.007515444930460702,-0.4616776880290099
0.05,alternating,1,0.0004,0.02,1358,0.46023564064801176,-0.0001847607774706267,-0.00039394966411664367,0.006605562755865706,-0.2509051358051111
0.05,alternating,1,0.0006,none,2720,0.45330882352941176,-0.00036973444412831673,-0.0005829025159731599,0.007515444930460702,-1.0056776880290215
0.05,alternating,1,0.0006,0.02,1358,0.44329896907216493,-0.0003847607774706182,-0.0005939496641166436,0.006605562755865706,-0.5225051358050995
0.05,alternating,1,0.0008,none,2720,0.43566176470588236,-0.0005697344441283007,-0.00078290251597316,0.007515444930460702,-1.5496776880289778
0.05,alternating,1,0.0008,0.02,1358,0.42857142857142855,-0.0005847607774706376,-0.0007939496641166437,0.006605562755865706,-0.7941051358051259
0.05,alternating,4,0.0004,none,2720,0.47316176470588234,-0.00029186733251714675,-0.0006148484135796602,0.014717214627954197,-0.7938791444466392
0.05,alternating,4,0.0004,0.02,1358,0.47790868924889546,5.024704326870833e-05,-0.0005471036544593573,0.012508220663000558,0.06823548475890591
0.05,alternating,4,0.0006,none,2720,0.46397058823529413,-0.000491867332517154,-0.0008148484135796602,0.014717214627954197,-1.337879144446659
0.05,alternating,4,0.0006,0.02,1358,0.4698085419734904,-0.00014975295673128674,-0.0007471036544593573,0.012508220663000558,-0.2033645152410874
0.05,alternating,4,0.0008,none,2720,0.4551470588235294,-0.00069186733251713,-0.0010148484135796602,0.014717214627954197,-1.8818791444465937
0.05,alternating,4,0.0008,0.02,1358,0.4580265095729013,-0.00034975295673129607,-0.0009471036544593574,0.012508220663000558,-0.47496451524110006
0.05,alternating,24,0.0004,none,2716,0.48306332842415317,-0.00043062722912253783,-0.0009108556715756052,0.035743330075020535,-1.1695835542968127
0.05,alternating,24,0.0004,0.02,1357,0.4745762711864407,-0.0007090293621574123,-0.0012615749227365299,0.030577695258740174,-0.9621528444476084
0.05,alternating,24,0.0006,none,2716,0.4804860088365243,-0.0006306272291225422,-0.001110855671575605,0.035743330075020535,-1.7127835542968246
0.05,alternating,24,0.0006,0.02,1357,0.47383935151068535,-0.0009090293621574221,-0.0014615749227365298,0.030577695258740174,-1.2335528444476218
0.05,alternating,24,0.0008,none,2716,0.47717231222385864,-0.0008306272291225305,-0.0013108556715756051,0.035743330075020535,-2.255983554296793
0.05,alternating,24,0.0008,0.02,1357,0.4716285924834193,-0.0011090293621574163,-0.0016615749227365298,0.030577695258740174,-1.5049528444476141
0.05,alternating,48,0.0004,none,2716,0.49779086892488955,7.709360436899134e-05,-0.00030612309061366327,0.046357267135591636,0.20938622946618046
0.05,alternating,48,0.0004,0.02,1357,0.4952100221075903,-0.00028644867064874755,-0.0006764364932228424,0.04320169940084039,-0.3887108460703504
0.05,alternating,48,0.0006,none,2716,0.49374079528718706,-0.00012290639563101365,-0.0005061230906136632,0.046357267135591636,-0.33381377053383304
0.05,alternating,48,0.0006,0.02,1357,0.4915254237288136,-0.00048644867064878304,-0.0008764364932228424,0.04320169940084039,-0.6601108460703986
0.05,alternating,48,0.0008,none,2716,0.49189985272459497,-0.0003229063956310033,-0.0007061230906136633,0.046357267135591636,-0.8770137705338049
0.05,alternating,48,0.0008,0.02,1357,0.4885777450257922,-0.0006864486706487542,-0.0010764364932228424,0.04320169940084039,-0.9315108460703594
0.07,raw,1,0.0004,none,2404,0.4667221297836938,-0.00011503970539156972,-0.00035229191042389607,0.007764178086796724,-0.2765554517613336
0.07,raw,1,0.0004,0.02,1205,0.45062240663900416,-0.0003124081741608259,-0.00046563800708736524,0.0068543912714391685,-0.37645184986379526
0.07,raw,1,0.0006,none,2404,0.45174708818635606,-0.00031503970539156794,-0.000552291910423896,0.007764178086796724,-0.7573554517613293
0.07,raw,1,0.0006,0.02,1205,0.433195020746888,-0.0005124081741608247,-0.0006656380070873652,0.0068543912714391685,-0.6174518498637938
0.07,raw,1,0.0008,none,2404,0.4367720465890183,-0.0005150397053915685,-0.0007522919104238961,0.007764178086796724,-1.2381554517613307
0.07,raw,1,0.0008,0.02,1205,0.4190871369294606,-0.0007124081741608332,-0.0008656380070873653,0.0068543912714391685,-0.8584518498638041
0.07,raw,4,0.0004,none,2404,0.4846089850249584,-0.00020086131411568405,-0.0003396833203715862,0.01518815441437094,-0.48287059913410446
0.07,raw,4,0.0004,0.02,1205,0.4879668049792531,0.00013247358087955973,-0.00029210248856219556,0.012609797591294767,0.1596306649598695
0.07,raw,4,0.0006,none,2404,0.4750415973377704,-0.000400861314115692,-0.0005396833203715861,0.01518815441437094,-0.9636705991341235
0.07,raw,4,0.0006,0.02,1205,0.47717842323651455,-6.752641912043889e-05,-0.0004921024885621955,0.012609797591294767,-0.08136933504012886
0.07,raw,4,0.0008,none,2404,0.4679700499168053,-0.0006008613141156845,-0.0007396833203715862,0.01518815441437094,-1.4444705991341054
0.07,raw,4,0.0008,0.02,1205,0.4705394190871369,-0.0002675264191204473,-0.0006921024885621956,0.012609797591294767,-0.322369335040139
0.07,raw,24,0.0004,none,2401,0.48438150770512284,-8.788574608131548e-05,-0.0008911287490207971,0.03599904350763653,-0.21101367634123847
0.07,raw,24,0.0004,0.02,1204,0.47840531561461797,-2.8156185112249727e-05,-0.000993873261899358,0.03027468572112494,-0.03390004687514867
0.07,raw,24,0.0006,none,2401,0.4814660558100791,-0.00028788574608134486,-0.001091128749020797,0.03599904350763653,-0.691213676341309
0.07,raw,24,0.0006,0.02,1204,0.47591362126245845,-0.00022815618511228472,-0.001193873261899358,0.03027468572112494,-0.2747000468751908
0.07,raw,24,0.0008,none,2401,0.4793835901707622,-0.00048788574608134744,-0.001291128749020797,0.03599904350763653,-1.1714136763413152
0.07,raw,24,0.0008,0.02,1204,0.4750830564784053,-0.00042815618511228483,-0.001393873261899358,0.03027468572112494,-0.5155000468751909
0.07,raw,48,0.0004,none,2401,0.4910453977509371,-0.0008880405698825316,-0.0009001793278598398,0.04674601044194095,-2.1321854082879583
0.07,raw,48,0.0004,0.02,1204,0.48588039867109634,-0.0005246970802593391,-0.0012021595721048324,0.04313913386761706,-0.6317352846322443
0.07,raw,48,0.0006,none,2401,0.48812994585589337,-0.0010880405698825608,-0.0011001793278598397,0.04674601044194095,-2.6123854082880285
0.07,raw,48,0.0006,0.02,1204,0.4833887043189369,-0.0007246970802593655,-0.0014021595721048323,0.04313913386761706,-0.872535284632276
0.07,raw,48,0.0008,none,2401,0.4860474802165764,-0.001288040569882554,-0.0013001793278598398,0.04674601044194095,-3.092585408288012
0.07,raw,48,0.0008,0.02,1204,0.48006644518272423,-0.0009246970802593571,-0.0016021595721048324,0.04313913386761706,-1.113335284632266
0.07,alternating,1,0.0004,none,1678,0.47794994040524436,7.312953431942411e-06,-0.00018853111103438424,0.00793902181232183,0.012271135858799366
0.07,alternating,1,0.0004,0.02,813,0.46863468634686345,-0.00019991862644257578,-0.00033674659411091456,0.006941739086620662,-0.16253384329781412
0.07,alternating,1,0.0006,none,1678,0.4642431466030989,-0.0001926870465680505,-0.00038853111103438417,0.00793902181232183,-0.3233288641411887
0.07,alternating,1,0.0006,0.02,813,0.45387453874538747,-0.0003999186264425713,-0.0005367465941109145,0.006941739086620662,-0.3251338432978105
0.07,alternating,1,0.0008,none,1678,0.4469606674612634,-0.000392687046568059,-0.0005885311110343843,0.007939021812321829,-0.658928864141203
0.07,alternating,1,0.0008,0.02,813,0.43665436654366546,-0.0005999186264425792,-0.0007367465941109146,0.006941739086620662,-0.4877338432978169
0.07,alternating,4,0.0004,none,1678,0.49106078665077474,-2.960493736955634e-05,-0.00028304765307639556,0.015586960847166062,-0.04967708490611554
0.07,alternating,4,0.0004,0.02,813,0.4981549815498155,0.0004927380778076411,-0.00019674257219253166,0.012439235216013006,0.4005960572576122
0.07,alternating,4,0.0006,none,1678,0.48092967818831944,-0.00022960493736954814,-0.0004830476530763955,0.015586960847166062,-0.3852770849061018
0.07,alternating,4,0.0006,0.02,813,0.4883148831488315,0.00029273807780765703,-0.0003967425721925316,0.012439235216013006,0.23799605725762518
0.07,alternating,4,0.0008,none,1678,0.47377830750893923,-0.00042960493736955675,-0.0006830476530763956,0.015586960847166062,-0.7208770849061162
0.07,alternating,4,0.0008,0.02,813,0.48093480934809346,9.273807780765057e-05,-0.0005967425721925317,0.012439235216013006,0.07539605725761991
0.07,alternating,24,0.0004,none,1677,0.4913536076326774,0.00015452148361731554,-0.0005675116904702456,0.0378919423561871,0.25913252802623815
0.07,alternating,24,0.0004,0.02,812,0.4839901477832512,0.0005513988543351906,-0.0008597513911203665,0.030661184925550596,0.4477358697201748
0.07,alternating,24,0.0006,none,1677,0.4895646988670245,-4.5478516382692066e-05,-0.0007675116904702456,0.0378919423561871,-0.07626747197377459
0.07,alternating,24,0.0006,0.02,812,0.4839901477832512,0.000351398854335205,-0.0010597513911203664,0.030661184925550596,0.2853358697201865
0.07,alternating,24,0.0008,none,1677,0.4877757901013715,-0.0002454785163826963,-0.0009675116904702456,0.0378919423561871,-0.41166747197378173
