tp,sl,n,win_rate,avg,median,std,sum,tp_hits,sl_hits,timeouts
0.006,0.006,1386,0.481962481962482,-0.001151486185240292,-0.006844197446299749,0.008606511917262171,-1.5959598527430447,667,716,3
0.006,0.008,1386,0.5396825396825397,-0.001283366002228629,0.005327785288404685,0.009735355251462161,-1.7787452790888798,747,636,3
0.006,0.01,1386,0.5851370851370852,-0.0013648098127117768,0.005435041095709714,0.010723034315663267,-1.8916264004185228,810,573,3
0.006,0.015,1386,0.6645021645021645,-0.0014637037288484872,0.005693109684703957,0.012780744184546142,-2.0286933681840034,920,458,8
0.006,0.02,1386,0.7135642135642135,-0.0015681251391455248,0.00582760697040865,0.014465540702918762,-2.1734214428556973,988,383,15
0.006,0.03,1386,0.766955266955267,-0.0017826505241760255,0.0059577433570550346,0.017203281577526132,-2.4707536265079715,1062,278,46
0.008,0.006,1386,0.4199134199134199,-0.0011485015485632564,-0.006986877447097117,0.009650362664970073,-1.5918231463086734,579,801,6
0.008,0.008,1386,0.4790764790764791,-0.0012820826120795027,-0.008862844275780912,0.010889110031966118,-1.7769665003421908,661,719,6
0.008,0.01,1386,0.5274170274170275,-0.001318799410857232,0.00729953255948187,0.01194491853073256,-1.8278559834481234,728,652,6
0.008,0.015,1386,0.6132756132756133,-0.0013512617887646702,0.007567457591168525,0.014174903047531443,-1.8728488392278329,847,527,12
0.008,0.02,1386,0.6681096681096681,-0.0013391712049118582,0.007731657448170637,0.015949345924102108,-1.8560912900078355,922,439,25
0.008,0.03,1386,0.727994227994228,-0.0015702924702707742,0.007906550777544841,0.018922922389970134,-2.176425363795293,1005,321,60
0.01,0.006,1386,0.3874458874458874,-0.000978262931983642,-0.007054721054102852,0.010501811689183922,-1.355872423729328,534,846,6
0.01,0.008,1386,0.4422799422799423,-0.0011291706334406733,-0.008964505900477182,0.011869867204921346,-1.565030497948773,610,770,6
0.01,0.01,1386,0.4898989898989899,-0.0011409471626610045,-0.010830160581521508,0.013064889783932759,-1.5813527674481522,676,704,6
0.01,0.015,1386,0.5786435786435786,-0.0010628222171255562,0.009509002611114948,0.01545434322654656,-1.473071592936021,798,574,14
0.01,0.02,1386,0.6341991341991342,-0.0010306494058194469,0.009685576757880421,0.017341239017514304,-1.4284800764657533,873,482,31
0.01,0.03,1386,0.696969696969697,-0.001175107579944128,0.009886195137207255,0.020395536237009747,-1.6286991058025615,959,351,76
0.015,0.006,1386,0.3225108225108225,-0.0007128945482507939,-0.007228106083370911,0.012298128114356677,-0.9880718438756003,439,935,12
0.015,0.008,1386,0.37157287157287155,-0.000904709015154129,-0.009169882566816645,0.01391613429288777,-1.2539266950036227,506,866,14
0.015,0.01,1386,0.41919191919191917,-0.0008198506538933623,-0.011097627509032515,0.015316111924962626,-1.1363130062962001,572,798,16
0.015,0.015,1386,0.5057720057720058,-0.0006671843883986525,0.007801405018968888,0.018048047923485567,-0.9247175623205323,689,668,29
0.015,0.02,1386,0.5627705627705628,-0.0006234461859964234,0.0143957673173152,0.020153928557276705,-0.8640964137910428,762,567,57
0.015,0.03,1386,0.6356421356421357,-0.0005336640165243097,0.014611384630959645,0.023635290965299937,-0.7396583269026933,857,414,115
0.02,0.006,1386,0.27200577200577203,-0.0007443927990908415,-0.00734759355455814,0.013894867672986696,-1.0317284195399063,359,1004,23
0.02,0.008,1386,0.31673881673881676,-0.0009494162062334893,-0.009312627875848944,0.015644659490739725,-1.3158908618396161,419,939,28
0.02,0.01,1386,0.3621933621933622,-0.0008735800551361757,-0.011241390180747912,0.017155002652574677,-1.2107819564187394,477,874,35
0.02,0.015,1386,0.443001443001443,-0.0007771966215521471,-0.015984470813650706,0.020168569540736134,-1.0771945174712758,580,745,61
0.02,0.02,1386,0.49927849927849927,-0.0008012818913032293,-0.00031713032944911056,0.022464084510547013,-1.1105767013462757,647,638,101
0.02,0.03,1386,0.575036075036075,-0.0005594028837762012,0.019313442019663476,0.026193520006946372,-0.7753323969138148,737,467,182
0.03,0.006,1386,0.2178932178932179,-0.000626684636701264,-0.007476222241102315,0.016501838597663205,-0.868584906467952,260,1077,49
0.03,0.008,1386,0.2582972582972583,-0.0007420065466753075,-0.009491250972333254,0.018538816496906592,-1.028421073691976,308,1017,61
0.03,0.01,1386,0.2987012987012987,-0.000597876077297569,-0.011414732739782473,0.020255717756473706,-0.8286562431344305,354,955,77
0.03,0.015,1386,0.3722943722943723,-0.0005789528309518658,-0.016193734807358726,0.023729937616194755,-0.802428623699286,431,832,123
0.03,0.02,1386,0.42784992784992787,-0.0005555617997702497,-0.02087797426382729,0.02640397327117026,-0.7700086544815661,484,721,181
0.03,0.03,1386,0.5086580086580087,-1.9805682608531163e-05,0.0012000740199722645,0.030346881129528804,-0.02745067609542419,554,525,307
