trade_no,timestamp,timestamp_kst,direction,gross_return,net_return,pnl_amount,capital_before,capital_after,exit_type,exit_timestamp,exit_timestamp_kst
1,1628604000000,2021-08-10 23:00,short,0.0030956310705818613,0.0022956310705818613,22.956310705818613,10000.0,10022.956310705818,fixed_4h,,
2,1628841600000,2021-08-13 17:00,long,0.008940402845182494,0.008140402845182493,81.59090206880947,10022.956310705818,10104.547212774627,fixed_4h,,
3,1628946000000,2021-08-14 22:00,long,0.00740279950514533,0.0066027995051453296,66.71829933622593,10104.547212774627,10171.265512110853,fixed_4h,,
4,1628949600000,2021-08-14 23:00,short,0.0034043962952645668,0.002604396295264567,26.49000621789376,10171.265512110853,10197.755518328746,fixed_4h,,
5,1629025200000,2021-08-15 20:00,long,0.006007061248866741,0.00520706124886674,53.100337584906576,10197.755518328746,10250.855855913653,fixed_4h,,
6,1629147600000,2021-08-17 06:00,short,-0.005256786105541922,-0.006056786105541922,-62.08724131801086,10250.855855913653,10188.768614595641,fixed_4h,,
7,1629190800000,2021-08-17 18:00,long,-0.012182836113177276,-0.012982836113177276,-132.27911311837948,10188.768614595641,10056.489501477261,fixed_4h,,
8,1629208800000,2021-08-17 23:00,short,0.003893757233240036,0.003093757233240036,31.112337136197763,10056.489501477261,10087.601838613458,fixed_4h,,
9,1629226800000,2021-08-18 04:00,long,-0.01415342157207189,-0.01495342157207189,-150.84416294399455,10087.601838613458,9936.757675669463,fixed_4h,,
10,1629234000000,2021-08-18 06:00,short,-0.006102513425674694,-0.006902513425674694,-68.58860326398454,9936.757675669463,9868.169072405479,fixed_4h,,
11,1629248400000,2021-08-18 10:00,long,0.007846321757798203,0.007046321757798202,69.53429444452203,9868.169072405479,9937.70336685,fixed_4h,,
12,1629252000000,2021-08-18 11:00,short,-0.010374465159713742,-0.011174465159713742,-111.04852004043528,9937.70336685,9826.654846809566,fixed_4h,,
13,1629255600000,2021-08-18 12:00,long,7.634978574744267e-05,-0.0007236502142525574,-7.111060885279674,9826.654846809566,9819.543785924287,fixed_4h,,
14,1629259200000,2021-08-18 13:00,short,-0.004578011699363449,-0.005378011699363449,-52.80962136311247,9819.543785924287,9766.734164561174,fixed_4h,,
15,1629316800000,2021-08-19 05:00,short,-0.010685038834164384,-0.011485038834164385,-112.17132116294513,9766.734164561174,9654.56284339823,fixed_4h,,
16,1629331200000,2021-08-19 09:00,long,-0.018563168033408628,-0.019363168033408627,-186.9429226258233,9654.56284339823,9467.619920772406,fixed_4h,,
17,1629396000000,2021-08-20 03:00,short,-0.004170824287607733,-0.004970824287607733,-47.06187504801428,9467.619920772406,9420.558045724392,fixed_4h,,
18,1629882000000,2021-08-25 18:00,short,-0.00711842615990399,-0.00791842615990399,-74.59599327015803,9420.558045724392,9345.962052454233,fixed_4h,,
19,1629950400000,2021-08-26 13:00,short,0.019940198411939947,0.019140198411939948,178.88356803443554,9345.962052454233,9524.84562048867,fixed_4h,,
20,1629961200000,2021-08-26 16:00,long,0.0006141963906300951,-0.00018580360936990491,-1.7697506949779265,9524.84562048867,9523.075869793693,fixed_4h,,
21,1629964800000,2021-08-26 17:00,short,-0.000768509686877028,-0.001568509686877028,-14.937036750636285,9523.075869793693,9508.138833043056,fixed_4h,,
22,1629979200000,2021-08-26 21:00,long,-0.0012843379659438492,-0.002084337965943849,-19.81817475517669,9508.138833043056,9488.32065828788,fixed_4h,,
23,1630036800000,2021-08-27 13:00,short,-0.007811395081517514,-0.008611395081517514,-81.70767784864127,9488.32065828788,9406.612980439239,fixed_4h,,
24,1630054800000,2021-08-27 18:00,short,-0.0027940454844759266,-0.0035940454844759265,-33.80779490656028,9406.612980439239,9372.805185532678,fixed_4h,,
25,1630072800000,2021-08-27 23:00,long,0.004270535891121918,0.0034705358911219183,32.52865679688479,9372.805185532678,9405.333842329563,fixed_4h,,
26,1630364400000,2021-08-31 08:00,short,-0.0031563826429379382,-0.003956382642937939,-37.211099564829475,9405.333842329563,9368.122742764734,fixed_4h,,
27,1630386000000,2021-08-31 14:00,long,0.005050824866588366,0.004250824866588366,39.82224910819633,9368.122742764734,9407.94499187293,fixed_4h,,
28,1630404000000,2021-08-31 19:00,short,-0.0003107752935120889,-0.0011107752935120888,-10.45011285969324,9407.94499187293,9397.494879013237,fixed_4h,,
29,1630411200000,2021-08-31 21:00,long,-0.009938190222509302,-0.010738190222509303,-100.91208762590118,9397.494879013237,9296.582791387336,fixed_4h,,
