trade_no,timestamp,timestamp_kst,direction,gross_return,net_return,pnl_amount,capital_before,capital_after,exit_type,exit_timestamp,exit_timestamp_kst
1,1628604000000,2021-08-10 23:00,short,-0.013748149687641709,-0.014548149687641709,-145.48149687641708,10000.0,9854.518503123583,sl,1628663100000,2021-08-11 15:25
2,1628949600000,2021-08-14 23:00,short,-0.012735261070268677,-0.013535261070268678,-133.383480661571,9854.518503123583,9721.135022462013,sl,1628970300000,2021-08-15 04:45
3,1629025200000,2021-08-15 20:00,long,0.020208770088464334,0.019408770088464335,188.6752746498838,9721.135022462013,9909.810297111897,tp,1629062100000,2021-08-16 06:15
4,1629147600000,2021-08-17 06:00,short,-0.012001871420785681,-0.012801871420785682,-126.86411722800446,9909.810297111897,9782.946179883893,sl,1629171000000,2021-08-17 12:30
5,1629190800000,2021-08-17 18:00,long,-0.013445664364310494,-0.014245664364310495,-139.36456777273946,9782.946179883893,9643.581612111153,sl,1629216000000,2021-08-18 01:00
6,1629226800000,2021-08-18 04:00,long,-0.014725014066831688,-0.015525014066831688,-149.71674018266506,9643.581612111153,9493.864871928488,sl,1629230700000,2021-08-18 05:05
7,1629331200000,2021-08-19 09:00,long,-0.012632962802212933,-0.013432962802212933,-127.53073367385143,9493.864871928488,9366.334138254637,sl,1629342300000,2021-08-19 12:05
8,1629964800000,2021-08-26 17:00,short,-0.013161720975490843,-0.013961720975490843,-130.7701438015257,9366.334138254637,9235.56399445311,sl,1629987000000,2021-08-26 23:10
9,1630044000000,2021-08-27 15:00,long,0.0204125405808675,0.0196125405808675,181.13287362841038,9235.56399445311,9416.69686808152,tp,1630074600000,2021-08-27 23:30
10,1630386000000,2021-08-31 14:00,long,0.021024394301081273,0.020224394301081274,190.4469904738378,9416.69686808152,9607.143858555359,tp,1630410900000,2021-08-31 20:55
11,1630411200000,2021-08-31 21:00,long,-0.012499977840246923,-0.013299977840246923,-127.77480042685059,9607.143858555359,9479.369058128508,sl,1630421700000,2021-08-31 23:55
12,1630659600000,2021-09-03 18:00,long,0.003833486447931911,0.003033486447931911,28.75553757277791,9479.369058128508,9508.124595701285,timeout,1630746000000,2021-09-04 18:00
13,1630753200000,2021-09-04 20:00,short,-0.005027695778238028,-0.005827695778238029,-55.410457565329544,9508.124595701285,9452.714138135956,timeout,1630839600000,2021-09-05 20:00
14,1630825200000,2021-09-05 16:00,long,0.020102478781613753,0.019302478781613754,182.46081408002965,9452.714138135956,9635.174952215986,tp,1630869300000,2021-09-06 04:15
15,1631178000000,2021-09-09 18:00,short,-0.012352650518252961,-0.013152650518252961,-126.72808882872154,9635.174952215986,9508.446863387264,sl,1631192400000,2021-09-09 22:00
16,1631494800000,2021-09-13 10:00,short,0.020601492827466927,0.01980149282746693,188.28144236571333,9508.446863387264,9696.728305752977,tp,1631499900000,2021-09-13 11:25
17,1631815200000,2021-09-17 03:00,short,-0.01204081407278812,-0.01284081407278812,-124.51388528851572,9696.728305752977,9572.214420464461,sl,1631854800000,2021-09-17 14:00
18,1632063600000,2021-09-20 00:00,long,-0.014417004202054273,-0.015217004202054274,-145.6604270591722,9572.214420464461,9426.553993405289,sl,1632091500000,2021-09-20 07:45
19,1632222000000,2021-09-21 20:00,short,0.024013737930164147,0.02321373793016415,218.82555398745268,9426.553993405289,9645.379547392742,tp,1632235800000,2021-09-21 23:50
20,1632279600000,2021-09-22 12:00,short,-0.014234920220421499,-0.015034920220421499,-145.0175119907351,9645.379547392742,9500.362035402008,sl,1632296700000,2021-09-22 16:45
21,1633287600000,2021-10-04 04:00,long,-0.016339627283363467,-0.017139627283363466,-162.83266434380673,9500.362035402008,9337.529371058201,sl,1633295100000,2021-10-04 06:05
22,1633683600000,2021-10-08 18:00,long,-0.012145922550472421,-0.012945922550472421,-120.88293205048093,9337.529371058201,9216.64643900772,sl,1633695000000,2021-10-08 21:10
23,1634814000000,2021-10-21 20:00,short,0.03251629782401477,0.03171629782401477,292.317903398214,9216.64643900772,9508.964342405934,tp,1634826000000,2021-10-21 23:20
24,1635069600000,2021-10-24 19:00,short,-0.02012929520073392,-0.02092929520073392,-199.0159217754665,9508.964342405934,9309.948420630468,sl,1635123300000,2021-10-25 09:55
25,1635091200000,2021-10-25 01:00,long,0.02101727419088073,0.02021727419088073,188.22177992284318,9309.948420630468,9498.170200553312,tp,1635107400000,2021-10-25 05:30
26,1635649200000,2021-10-31 12:00,short,0.020527559916804106,0.019727559916804107,187.37572173141874,9498.170200553312,9685.545922284731,tp,1635674400000,2021-10-31 19:00
27,1635739200000,2021-11-01 13:00,long,0.020287326237422132,0.019487326237422133,188.74539317509618,9685.545922284731,9874.291315459828,tp,1635749700000,2021-11-01 15:55
28,1635822000000,2021-11-02 12:00,short,-0.012631874910031815,-0.013431874910031815,-132.63024577446993,9874.291315459828,9741.661069685359,sl,1635831000000,2021-11-02 14:30
29,1635933600000,2021-11-03 19:00,long,-0.01240822036298661,-0.013208220362986611,-128.67000610993207,9741.661069685359,9612.991063575426,sl,1635943200000,2021-11-03 21:40
30,1635962400000,2021-11-04 03:00,short,-0.019560378536880085,-0.020360378536880084,-195.72413692604115,9612.991063575426,9417.266926649385,sl,1635965100000,2021-11-04 03:45
31,1636038000000,2021-11-05 00:00,short,-0.013075067637136728,-0.013875067637136728,-130.66521556423095,9417.266926649385,9286.601711085154,sl,1636092300000,2021-11-05 15:05
32,1636138800000,2021-11-06 04:00,long,-0.015577359606470442,-0.01637735960647044,-152.09001574450528,9286.601711085154,9134.511695340649,sl,1636196400000,2021-11-06 20:00
33,1636246800000,2021-11-07 10:00,short,-0.012226629187587212,-0.013026629187587213,-118.99189666488125,9134.511695340649,9015.519798675767,sl,1636320600000,2021-11-08 06:30
34,1636747200000,2021-11-13 05:00,short,-0.012718448477892386,-0.013518448477892386,-121.8758398998171,9015.519798675767,8893.643958775949,sl,1636815300000,2021-11-13 23:55
35,1637168400000,2021-11-18 02:00,long,-0.012179734563897093,-0.012979734563897094,-115.43713789071876,8893.643958775949,8778.20682088523,sl,1637222700000,2021-11-18 17:05
36,1637344800000,2021-11-20 03:00,long,-0.0024479134909579647,-0.0032479134909579647,-28.510856359972365,8778.20682088523,8749.69596452526,timeout,1637431200000,2021-11-21 03:00
37,1637413200000,2021-11-20 22:00,short,-0.01245825489343333,-0.01325825489343333,-116.00569933772087,8749.69596452526,8633.690265187539,sl,1637433000000,2021-11-21 03:30
38,1637496000000,2021-11-21 21:00,long,0.020108651972175595,0.019308651972175597,166.70492056606662,8633.690265187539,8800.395185753605,tp,1637513700000,2021-11-22 01:55
39,1637586000000,2021-11-22 22:00,long,0.0207979797688147,0.019997979768814702,175.9901248822749,8800.395185753605,8976.38531063588,tp,1637587800000,2021-11-22 22:30
40,1637632800000,2021-11-23 11:00,long,-0.013964446823225618,-0.014764446823225618,-132.53136358366703,8976.38531063588,8843.853947052214,sl,1637652000000,2021-11-23 16:20
41,1637661600000,2021-11-23 19:00,long,0.02053631518437582,0.01973631518437582,174.54508894360865,8843.853947052214,9018.399035995822,tp,1637679300000,2021-11-23 23:55
42,1637683200000,2021-11-24 01:00,short,-0.01229461489445538,-0.01309461489445538,-118.09246234089294,9018.399035995822,8900.306573654929,sl,1637697300000,2021-11-24 04:55
43,1637780400000,2021-11-25 04:00,short,-0.012263704344356752,-0.013063704344356752,-116.27097365236285,8900.306573654929,8784.035600002566,sl,1637799600000,2021-11-25 09:20
44,1637802000000,2021-11-25 10:00,long,-0.012640917490887471,-0.013440917490887471,-118.06549773665272,8784.035600002566,8665.970102265914,sl,1637814300000,2021-11-25 13:25
45,1637827200000,2021-11-25 17:00,long,0.020501235520251626,0.019701235520251627,170.73031799619986,8665.970102265914,8836.700420262114,tp,1637852400000,2021-11-26 00:00
46,1637895600000,2021-11-26 12:00,short,0.023847227056720155,0.023047227056720156,203.66144101799537,8836.700420262114,9040.36186128011,tp,1637912700000,2021-11-26 16:45
47,1638007200000,2021-11-27 19:00,short,-0.01392177957268137,-0.01472177957268137,-133.09021457904123,9040.36186128011,8907.271646701069,sl,1638020100000,2021-11-27 22:35
48,1638028800000,2021-11-28 01:00,long,-0.013737818023831339,-0.014537818023831339,-129.49229428857265,8907.271646701069,8777.779352412495,sl,1638047100000,2021-11-28 06:05
