trade_no,timestamp,timestamp_kst,direction,gross_return,net_return,pnl_amount,capital_before,capital_after,exit_type,exit_timestamp,exit_timestamp_kst
1,1628604000000,2021-08-10 23:00,short,-0.021303181309861197,-0.022103181309861195,-221.03181309861196,10000.0,9778.968186901388,sl,1628665500000,2021-08-11 16:05
2,1628949600000,2021-08-14 23:00,short,-0.021846852883182777,-0.022646852883182775,-221.46285387808032,9778.968186901388,9557.505333023308,sl,1629072900000,2021-08-16 09:15
3,1629086400000,2021-08-16 13:00,short,0.03408253172235831,0.03328253172235831,318.09797443295696,9557.505333023308,9875.603307456264,tp,1629144000000,2021-08-17 05:00
4,1629208800000,2021-08-17 23:00,short,0.03236812245329723,0.03156812245329723,311.7542545099665,9875.603307456264,10187.35756196623,tp,1629231300000,2021-08-18 05:15
5,1629331200000,2021-08-19 09:00,long,0.03421975015851353,0.03341975015851353,340.4589444963549,10187.35756196623,10527.816506462585,tp,1629397500000,2021-08-20 03:25
6,1629802800000,2021-08-24 20:00,short,0.031002149109045085,0.030202149109045087,317.9626839208491,10527.816506462585,10845.779190383433,tp,1629849000000,2021-08-25 08:50
7,1629964800000,2021-08-26 17:00,short,-0.020406887364561976,-0.021206887364561975,-230.00521767137164,10845.779190383433,10615.77397271206,sl,1630064700000,2021-08-27 20:45
8,1630054800000,2021-08-27 18:00,short,-0.021564620285912106,-0.022364620285912105,-237.41775394077388,10615.77397271206,10378.356218771287,sl,1630074600000,2021-08-27 23:30
9,1630386000000,2021-08-31 14:00,long,0.03152596920802764,0.03072596920802764,318.88505360790873,10378.356218771287,10697.241272379195,tp,1630515900000,2021-09-02 02:05
10,1630641600000,2021-09-03 13:00,long,0.030431526788159857,0.02963152678815986,316.9755913219134,10697.241272379195,11014.21686370111,tp,1630679100000,2021-09-03 23:25
11,1630753200000,2021-09-04 20:00,short,-0.020793131933814157,-0.021593131933814156,-237.8314378855388,11014.21686370111,10776.38542581557,sl,1630869000000,2021-09-06 04:10
12,1631174400000,2021-09-09 17:00,long,-0.026042270449849414,-0.026842270449849413,-289.26265207155717,10776.38542581557,10487.122773744013,sl,1631284200000,2021-09-10 23:30
13,1631433600000,2021-09-12 17:00,long,-0.02001669068512202,-0.020816690685122017,-218.30719095792796,10487.122773744013,10268.815582786085,sl,1631509800000,2021-09-13 14:10
14,1631815200000,2021-09-17 03:00,short,-0.02273560303723321,-0.023535603037233208,-241.68276721900787,10268.815582786085,10027.132815567076,sl,1631943900000,2021-09-18 14:45
15,1631923200000,2021-09-18 09:00,long,0.030151195805996123,0.029351195805996124,294.30833864243846,10027.132815567076,10321.441154209515,tp,1631944200000,2021-09-18 14:50
16,1632063600000,2021-09-20 00:00,long,-0.03302419701614967,-0.03382419701614967,-349.1144590905779,10321.441154209515,9972.326695118936,sl,1632105600000,2021-09-20 11:40
17,1632222000000,2021-09-21 20:00,short,0.030616669390344353,0.029816669390344355,297.34156812086667,9972.326695118936,10269.668263239802,tp,1632245400000,2021-09-22 02:30
18,1632322800000,2021-09-23 00:00,short,-0.02007935458864263,-0.020879354588642627,-214.42404517591353,10269.668263239802,10055.244218063888,sl,1632327000000,2021-09-23 01:10
19,1632574800000,2021-09-25 22:00,long,-0.026137789590534144,-0.026937789590534143,-270.86605302764,10055.244218063888,9784.378165036249,sl,1632641700000,2021-09-26 16:35
20,1632931200000,2021-09-30 01:00,short,-0.024753457538769785,-0.025553457538769784,-250.02469198352,9784.378165036249,9534.353473052728,sl,1632964200000,2021-09-30 10:10
