trade_no,timestamp,timestamp_kst,direction,gross_return,net_return,pnl_amount,capital_before,capital_after,exit_type,exit_timestamp,exit_timestamp_kst
1,1628946000000,2021-08-14 22:00,long,-0.011508850020025996,-0.012308850020025996,-123.08850020025996,10000.0,9876.91149979974,timeout,1629032400000,2021-08-15 22:00
2,1629147600000,2021-08-17 06:00,short,-0.01538520892913331,-0.016185208929133308,-159.8598761988182,9876.91149979974,9717.051623600923,sl,1629192600000,2021-08-17 18:30
3,1629979200000,2021-08-26 21:00,long,0.02533141211613632,0.024531412116136322,238.3729979323258,9717.051623600923,9955.424621533248,tp,1630064100000,2021-08-27 20:35
4,1630404000000,2021-08-31 19:00,short,-0.015475990034020448,-0.016275990034020447,-162.0343919245169,9955.424621533248,9793.39022960873,sl,1630409700000,2021-08-31 20:35
5,1630753200000,2021-09-04 20:00,short,-0.005027695778238028,-0.005827695778238029,-57.07289889572836,9793.39022960873,9736.317330713002,timeout,1630839600000,2021-09-05 20:00
6,1632654000000,2021-09-26 20:00,short,-0.016529942999836233,-0.017329942999836232,-168.72982436957398,9736.317330713002,9567.587506343429,sl,1632694200000,2021-09-27 07:10
7,1634565600000,2021-10-18 23:00,long,0.011787853584034114,0.010987853584034113,105.12725067213565,9567.587506343429,9672.714757015565,timeout,1634652000000,2021-10-19 23:00
8,1634814000000,2021-10-21 20:00,short,0.03251629782401477,0.03171629782401477,306.7827020002483,9672.714757015565,9979.497459015813,tp,1634826000000,2021-10-21 23:20
9,1635966000000,2021-11-04 04:00,long,-0.015930228375906963,-0.01673022837590696,-166.95927156611776,9979.497459015813,9812.538187449694,sl,1636011600000,2021-11-04 16:40
10,1636038000000,2021-11-05 00:00,short,0.006970602779633239,0.006170602779633239,60.54927541473439,9812.538187449694,9873.087462864429,timeout,1636124400000,2021-11-06 00:00
11,1636124400000,2021-11-06 00:00,short,0.010305164409301626,0.009505164409301626,93.84531956194105,9873.087462864429,9966.93278242637,timeout,1636210800000,2021-11-07 00:00
12,1636747200000,2021-11-13 05:00,short,-0.0013170449285515584,-0.0021170449285515583,-21.100444500250017,9966.93278242637,9945.832337926118,timeout,1636833600000,2021-11-14 05:00
13,1637146800000,2021-11-17 20:00,long,-0.016119941988880893,-0.01691994198888089,-168.28290618884552,9945.832337926118,9777.549431737272,sl,1637163000000,2021-11-18 00:30
14,1637168400000,2021-11-18 02:00,long,-0.0159549961088713,-0.0167549961088713,-163.82280268305476,9777.549431737272,9613.726629054217,sl,1637227200000,2021-11-18 18:20
15,1637427600000,2021-11-21 02:00,short,-0.015680807920396056,-0.016480807920396055,-158.4419819726392,9613.726629054217,9455.284647081578,sl,1637432400000,2021-11-21 03:20
16,1637586000000,2021-11-22 22:00,long,0.032825956911895826,0.032025956911895824,302.81453869714477,9455.284647081578,9758.099185778723,tp,1637588100000,2021-11-22 22:35
17,1637661600000,2021-11-23 19:00,long,0.004714856815717594,0.003914856815717594,38.201561105894136,9758.099185778723,9796.300746884617,timeout,1637748000000,2021-11-24 19:00
18,1637683200000,2021-11-24 01:00,short,0.005747593844305343,0.004947593844305343,48.46811727225016,9796.300746884617,9844.768864156867,timeout,1637769600000,2021-11-25 01:00
19,1637802000000,2021-11-25 10:00,long,-0.015034181932324864,-0.015834181932324862,-155.88386127674704,9844.768864156867,9688.88500288012,sl,1637815200000,2021-11-25 13:40
20,1637827200000,2021-11-25 17:00,long,0.0263112973530486,0.025511297353048603,247.17602632796792,9688.88500288012,9936.06102920809,tp,1637855700000,2021-11-26 00:55
21,1638003600000,2021-11-27 18:00,long,-0.01587393292877881,-0.01667393292877881,-165.67321517726862,9936.06102920809,9770.38781403082,sl,1638046200000,2021-11-28 05:50
22,1638025200000,2021-11-28 00:00,short,0.006004356076355077,0.005204356076355077,50.8485771882969,9770.38781403082,9821.236391219118,timeout,1638111600000,2021-11-29 00:00
23,1638057600000,2021-11-28 09:00,short,-0.017015393165989323,-0.017815393165989322,-174.96918768569068,9821.236391219118,9646.267203533427,sl,1638134700000,2021-11-29 06:25
24,1638100800000,2021-11-28 21:00,short,-0.018804975610015706,-0.019604975610015705,-189.11483325296723,9646.267203533427,9457.15237028046,sl,1638134700000,2021-11-29 06:25
25,1638288000000,2021-12-01 01:00,short,-0.015172522326616367,-0.015972522326616365,-151.05457738051754,9457.15237028046,9306.097792899944,sl,1638368400000,2021-12-01 23:20
26,1638345600000,2021-12-01 17:00,long,0.027064089713282335,0.026264089713282337,244.41618731330286,9306.097792899944,9550.513980213247,tp,1638369900000,2021-12-01 23:45
27,1638381600000,2021-12-02 03:00,short,0.0251408156791465,0.0243408156791465,232.46730043348245,9550.513980213247,9782.981280646729,tp,1638392700000,2021-12-02 06:05
28,1638403200000,2021-12-02 09:00,long,-0.015229688813797604,-0.016029688813797602,-156.8181455999742,9782.981280646729,9626.163135046754,sl,1638414600000,2021-12-02 12:10
29,1638428400000,2021-12-02 16:00,short,-0.0002669212160726353,-0.0010669212160726352,-10.270357678157653,9626.163135046754,9615.892777368597,timeout,1638514800000,2021-12-03 16:00
30,1638482400000,2021-12-03 07:00,short,0.027942378067273843,0.027142378067273844,260.9981972177064,9615.892777368597,9876.890974586304,tp,1638547800000,2021-12-04 01:10
31,1638504000000,2021-12-03 13:00,long,-0.019779701356693935,-0.020579701356693934,-203.26346658961182,9876.890974586304,9673.627507996693,sl,1638547800000,2021-12-04 01:10
32,1638525600000,2021-12-03 19:00,long,-0.016244581839561234,-0.017044581839561233,-164.8829357454804,9673.627507996693,9508.744572251213,sl,1638543000000,2021-12-03 23:50
33,1638716400000,2021-12-06 00:00,long,-0.016100091160100805,-0.016900091160100803,-160.69865008915923,9508.744572251213,9348.045922162053,sl,1638718200000,2021-12-06 00:30
34,1639148400000,2021-12-11 00:00,short,0.02769303889382757,0.026893038893827572,251.39736256599033,9348.045922162053,9599.443284728044,tp,1639181400000,2021-12-11 09:10
35,1639180800000,2021-12-11 09:00,long,0.028452857130323306,0.027652857130323307,265.4520336832261,9599.443284728044,9864.89531841127,tp,1639192500000,2021-12-11 12:15
36,1639245600000,2021-12-12 03:00,short,-0.015374980733652288,-0.016174980733652287,-159.56449171479895,9864.89531841127,9705.330826696472,sl,1639268100000,2021-12-12 09:15
37,1639490400000,2021-12-14 23:00,short,-0.01656329547329105,-0.01736329547329105,-168.51652680997094,9705.330826696472,9536.8142998865,sl,1639515900000,2021-12-15 06:05
38,1639562400000,2021-12-15 19:00,short,0.02557885076108324,0.02477885076108324,236.31129827305213,9536.8142998865,9773.125598159553,tp,1639579200000,2021-12-15 23:40
39,1639922400000,2021-12-19 23:00,long,-0.0165803677388916,-0.017380367738891598,-169.86051685438795,9773.125598159553,9603.265081305166,sl,1639923000000,2021-12-19 23:10
40,1639962000000,2021-12-20 10:00,long,-0.015953150436017416,-0.016753150436017415,-160.88494458405845,9603.265081305166,9442.380136721107,sl,1639989900000,2021-12-20 17:45
41,1640869200000,2021-12-30 22:00,long,0.009227925725938224,0.008427925725938224,79.5796784683599,9442.380136721107,9521.959815189468,timeout,1640955600000,2021-12-31 22:00
42,1640991600000,2022-01-01 08:00,long,0.03137135009142167,0.03057135009142167,291.099167066606,9521.959815189468,9813.058982256074,tp,1641058800000,2022-01-02 02:40
