threshold,tp,sl,cooldown_h,n,win_rate,avg,wf_mean_test_avg,wf_weighted_test_avg
0.1,0.025,0.012,8,289,0.43944636678200694,0.0014146483438018088,0.0013380876917442174,0.0020085371487459066
0.1,0.025,0.012,6,302,0.4304635761589404,0.0011083754330075376,0.0012373973687113805,0.001992458341032948
0.1,0.02,0.012,6,302,0.45695364238410596,0.0010001700456579925,0.0010163016108433,0.0019529603893453209
0.095,0.025,0.012,8,315,0.44761904761904764,0.0013386828090416454,0.0015239374923167752,0.001952956675941767
0.085,0.025,0.015,8,397,0.48866498740554154,0.0015892733735586512,0.0018881812251286606,0.001920062648842669
0.1,0.02,0.012,8,289,0.4671280276816609,0.0012280281502661731,0.0010710311231349216,0.0018750143297480192
0.095,0.025,0.012,6,334,0.437125748502994,0.001013376544902927,0.001333558793485723,0.0018332206854856426
0.095,0.025,0.015,8,315,0.48253968253968255,0.0011958569422683208,0.0012398026526841861,0.0018312899362807377
0.09,0.025,0.015,6,364,0.4807692307692308,0.0012616242687790054,0.0015797987212785513,0.0017955007712109217
0.09,0.025,0.015,8,345,0.4811594202898551,0.0012207257700796795,0.0016465657546841442,0.0017801881487330793
0.09,0.025,0.012,6,364,0.4423076923076923,0.0012660554203173075,0.0016321923417522625,0.0017317282715116587
0.085,0.02,0.015,8,397,0.5138539042821159,0.0014725793691227073,0.0016031172379648655,0.0017296683726389487
0.085,0.025,0.015,6,419,0.48687350835322196,0.00144295638790529,0.0016876725813846968,0.0017237243609253558
0.085,0.02,0.015,6,419,0.513126491646778,0.0014203169235805632,0.0016058523236021187,0.001698918186552288
0.09,0.025,0.012,8,345,0.4434782608695652,0.0012252721115990953,0.0016827247525065528,0.0016854862681359203
0.1,0.015,0.012,8,289,0.5155709342560554,0.001385132618879091,0.0007410157294785993,0.0016854103925022206
0.095,0.025,0.015,6,334,0.47005988023952094,0.0007682695534112337,0.0010155209770957236,0.001672455259232353
0.095,0.015,0.012,8,315,0.526984126984127,0.0014634529966372598,0.0009863610681936758,0.0016718624859464347
0.085,0.025,0.012,8,397,0.44836272040302266,0.001363897758084571,0.0017208194966844635,0.0016550918326137833
0.095,0.02,0.012,8,315,0.46984126984126984,0.0010307442273470625,0.0010368200815541369,0.0016164114246221101
0.095,0.02,0.012,6,334,0.45808383233532934,0.0007746084276410034,0.0008959298725095147,0.0015922969158393642
0.085,0.015,0.015,8,397,0.5743073047858942,0.0016938673987101972,0.0016209433587149893,0.0015920646338501425
0.09,0.02,0.015,6,364,0.5054945054945055,0.0011114997338528068,0.0012186231698885818,0.0015698943353683326
0.095,0.015,0.015,8,315,0.5587301587301587,0.0012903033189162725,0.0007078981931846948,0.001543847198021432
0.1,0.025,0.015,8,289,0.4740484429065744,0.0013165182073696102,0.0008978697315295815,0.001534429963918609
0.1,0.015,0.012,6,302,0.5,0.0009651396337301253,0.0005740003934260108,0.0015317668407832915
0.1,0.025,0.01,6,302,0.3973509933774834,0.0009907083417525144,0.001309205824207114,0.0015287675408656176
0.09,0.02,0.012,6,364,0.46703296703296704,0.0011105791730876247,0.0012827512012945563,0.0015202457690103813
0.1,0.025,0.015,6,302,0.46357615894039733,0.000923286603399669,0.0007961834944990431,0.001511815435448884
0.1,0.02,0.01,6,302,0.423841059602649,0.0008302606102980961,0.0010962309938945085,0.001506337301328481
0.085,0.025,0.012,6,419,0.44630071599045346,0.0012385068080409379,0.0015479116268370106,0.0014982544947501003
0.09,0.02,0.015,8,345,0.5072463768115942,0.0010671089710249885,0.0012543837157500677,0.0014958644140549962
0.085,0.02,0.012,6,419,0.47255369928400953,0.0012063663922351033,0.0014670611679688875,0.001479225456926198
0.085,0.02,0.012,8,397,0.473551637279597,0.0012424423415674736,0.0014465601152582794,0.0014773465220290227
0.085,0.025,0.015,4,446,0.4820627802690583,0.0012266738143217179,0.0012928041806825482,0.0014772835105446908
0.085,0.02,0.015,4,446,0.5089686098654709,0.0011959423925985528,0.0013512910166343277,0.0014767835591394346
0.095,0.025,0.01,6,334,0.40119760479041916,0.0009776048994976179,0.0013953047447072006,0.0014674769571880657
0.095,0.025,0.012,4,352,0.4375,0.0008021238599345889,0.0010255878236050415,0.0014625081902072332
0.1,0.02,0.015,6,302,0.4900662251655629,0.0008099078303390069,0.0005528131007828596,0.0014622720411467762
0.095,0.02,0.015,8,315,0.5047619047619047,0.0008735253746177328,0.0007160352767986394,0.001452829137000279
0.09,0.025,0.01,6,364,0.40384615384615385,0.0011889996981991734,0.001645498123457202,0.0014475108970612876
0.09,0.025,0.012,4,387,0.4392764857881137,0.0009768924534103557,0.0013119089325744793,0.0014320621278666207
0.09,0.025,0.015,4,387,0.4780361757105943,0.001020335607015668,0.0011754819296454272,0.0014313844830746362
0.095,0.015,0.012,6,334,0.5089820359281437,0.0010028869798397568,0.0007439726908169037,0.0014310183570974708
0.09,0.02,0.012,8,345,0.46956521739130436,0.00106600886825899,0.0013025245410030512,0.0014158576552798622
0.085,0.015,0.015,6,419,0.568019093078759,0.0015036573290785967,0.001551752537915237,0.001411680478997739
0.095,0.025,0.01,8,315,0.40634920634920635,0.0011260803969828982,0.0014844861764725156,0.001408513946482518
0.09,0.025,0.01,8,345,0.4028985507246377,0.001106266056710019,0.001688734546565225,0.0013929933485429462
0.095,0.02,0.015,6,334,0.49101796407185627,0.0005159272128674489,0.0005423734659842005,0.0013913824972864558
0.1,0.02,0.015,8,289,0.5017301038062284,0.001124491915270799,0.0006088766803212036,0.0013905546363747973
0.1,0.025,0.01,8,289,0.4013840830449827,0.0011240752937496607,0.0013200940025429081,0.00137103573300634
0.085,0.025,0.012,4,446,0.4439461883408072,0.001108206123512795,0.0012736846450999058,0.0013553811744193799
0.085,0.02,0.012,4,446,0.47085201793721976,0.0010638936405991716,0.001323568183054684,0.0013543960814165906
0.085,0.015,0.012,8,397,0.5365239294710328,0.0014982230204889607,0.0014643722679857872,0.001348900893411599
0.095,0.02,0.012,4,352,0.4602272727272727,0.0006391022007025943,0.0007827388307335123,0.0012997399567256987
0.085,0.015,0.015,4,446,0.5672645739910314,0.0013912721474238297,0.0013429288340011337,0.0012997195522955717
0.09,0.02,0.01,6,364,0.43131868131868134,0.001061834905095974,0.0013343224124175495,0.0012976588553760282
0.09,0.02,0.012,4,387,0.46511627906976744,0.0008394788886446816,0.0011430258047352144,0.001283726857085312
0.1,0.02,0.01,8,289,0.4290657439446367,0.000901023450691528,0.0010726908688386684,0.001278021303856428
0.09,0.015,0.015,8,345,0.5623188405797102,0.0013436680538956918,0.001078105984889156,0.0012777665360311967
0.09,0.02,0.015,4,387,0.5038759689922481,0.0008780647922087562,0.001006660728633649,0.0012766035125777921
0.095,0.015,0.015,6,334,0.5389221556886228,0.0007291811846100054,0.0004319858105106357,0.0012641719459170026
0.085,0.025,0.01,8,397,0.40554156171284633,0.0011248505612956405,0.001688177245889062,0.0012553889148524732
0.095,0.02,0.01,6,334,0.4251497005988024,0.0007338048850103013,0.0009689842350939079,0.0012502965186792507
0.1,0.02,0.012,4,321,0.4517133956386293,0.0006128010820944388,0.0006116262876951209,0.0012428947904310336
0.095,0.025,0.015,4,352,0.4715909090909091,0.0006598467173062913,0.0006316556804138475,0.001240672619589823
0.095,0.015,0.012,4,352,0.5170454545454546,0.001047346297461558,0.000678343102659002,0.0012331876496432146
0.1,0.015,0.015,8,289,0.5467128027681661,0.0011976955298576993,0.0003201151713238065,0.0012233317767135722
0.085,0.02,0.01,6,419,0.4343675417661098,0.0010769563245829703,0.0015105246073376026,0.001210681318919082
0.085,0.015,0.012,6,419,0.5298329355608592,0.0012886339648930185,0.0014127089702509245,0.0012007573336569731
0.085,0.025,0.01,6,419,0.40572792362768495,0.0010915402432420064,0.001570909510590374,0.0011800944974006801
0.09,0.02,0.01,8,345,0.4318840579710145,0.0009695768308958863,0.0013439667627007821,0.0011782327031698062
0.085,0.015,0.012,4,446,0.531390134529148,0.0012516520577564242,0.0013100677725336974,0.001176711725496347
0.1,0.025,0.012,4,321,0.4236760124610592,0.0006096534713375429,0.0005937157373929001,0.0011611054206084517
0.09,0.015,0.012,8,345,0.527536231884058,0.0013308831818330577,0.0010827568894892416,0.0011593369055315406
0.09,0.015,0.015,6,364,0.5521978021978022,0.001118482772868544,0.0009534119425003394,0.001157717135053963
0.085,0.02,0.01,8,397,0.4332493702770781,0.0010255543983887596,0.0014503337540425017,0.001134017923766786
0.1,0.015,0.01,8,289,0.47750865051903113,0.0010371723904006936,0.000740397776192625,0.0011267485229477872
0.095,0.015,0.01,8,315,0.4888888888888889,0.0011505830009436425,0.0008348727454361609,0.0011263208157956213
0.1,0.015,0.01,6,302,0.46688741721854304,0.000777165094698763,0.0006526112217934989,0.0011248824025359963
0.095,0.02,0.01,8,315,0.43174603174603177,0.0008294681249212968,0.0010197231614804778,0.001117750497701052
0.09,0.025,0.01,4,387,0.3979328165374677,0.0007596000828635033,0.0013162217014210296,0.0010802127409282533
0.09,0.015,0.015,4,387,0.5581395348837209,0.0011589630696895326,0.0008475522260446833,0.0010772633327052227
0.09,0.015,0.012,6,364,0.5164835164835165,0.001084841426817781,0.0009749028482558494,0.0010711391654837478
0.1,0.015,0.015,6,302,0.5298013245033113,0.0006945881905518065,0.00015150069712999874,0.0010627957246477444
0.085,0.015,0.01,8,397,0.49622166246851385,0.0012713756825300316,0.0014254693624025359,0.0010557322310017255
0.095,0.02,0.015,4,352,0.4943181818181818,0.0004730705989249535,0.0003663955915899422,0.0010471255129586947
0.095,0.015,0.01,6,334,0.47604790419161674,0.0008586355634516619,0.0006833477149147607,0.0010464137482015877
0.09,0.015,0.012,4,387,0.5219638242894057,0.0010771683792438966,0.0009381401401494029,0.0010388762540585119
0.085,0.02,0.01,4,446,0.4304932735426009,0.000831170191908159,0.0013545795212424397,0.001036769765330664
0.095,0.025,0.01,4,352,0.4005681818181818,0.0007136839435836397,0.0010669930658310203,0.0010226930265782425
0.095,0.015,0.015,4,352,0.5482954545454546,0.0008718889565246854,0.0003019932584609666,0.0010131437184190935
0.09,0.02,0.01,4,387,0.4263565891472868,0.0006691016483559391,0.0011737659200219811,0.0009969667897480798
0.085,0.015,0.01,6,419,0.4916467780429594,0.0011544832349984929,0.0014135487445443313,0.0009862073834605487
0.085,0.025,0.01,4,446,0.4013452914798206,0.0008413863555115656,0.0012938961393836384,0.000985387914295838
0.1,0.015,0.012,4,321,0.5015576323987538,0.0008127066155905998,0.00025584324802980444,0.0009701556766997826
0.085,0.015,0.01,4,446,0.4910313901345291,0.0010271274736121337,0.001297756701301612,0.0009082785392193476
0.095,0.02,0.01,4,352,0.42613636363636365,0.0005514422365019961,0.0008245956776972911,0.0008897863544779628
0.09,0.015,0.01,8,345,0.48985507246376814,0.0011491986258646706,0.001005019129511307,0.000886389528929822
0.09,0.015,0.01,6,364,0.4807692307692308,0.0009606999701705265,0.0009105769010562387,0.0008215552298933855
0.095,0.015,0.01,4,352,0.48295454545454547,0.0008598224799104725,0.0005897201790064099,0.000780302963851745
0.1,0.02,0.01,4,321,0.4174454828660436,0.000410278439092494,0.0006707353132496866,0.0007485271530957054
0.09,0.015,0.01,4,387,0.48320413436692505,0.0008504563957943283,0.0008552466631620485,0.0007244630197482794
0.1,0.02,0.015,4,321,0.48598130841121495,0.0004776434283159339,4.531130168690419e-05,0.0006621619516524076
0.1,0.025,0.01,4,321,0.3894080996884735,0.00045018999060808046,0.0006562289823896113,0.0006428050756822402
0.1,0.025,0.015,4,321,0.45794392523364486,0.0004912875357184914,3.6662176338674154e-05,0.0005815504611764484
0.1,0.015,0.01,4,321,0.4672897196261682,0.0005913174683731202,0.0003123557323882354,0.0005108993785692882
0.1,0.015,0.015,4,321,0.5327102803738317,0.0006073090953784595,-0.00027111674157308973,0.00040992390498862557
