rank,threshold,tp,sl,cooldown_h,n,win_rate,avg,wf_mean_test_avg,wf_weighted_test_avg
1,0.1,0.025,0.012,8,289,0.43944636678200694,0.0014146483438018088,0.0013380876917442174,0.0020085371487459066
2,0.1,0.025,0.012,6,302,0.4304635761589404,0.0011083754330075376,0.0012373973687113805,0.001992458341032948
3,0.1,0.02,0.012,6,302,0.45695364238410596,0.0010001700456579925,0.0010163016108433,0.0019529603893453209
4,0.095,0.025,0.012,8,315,0.44761904761904764,0.0013386828090416454,0.0015239374923167752,0.001952956675941767
5,0.085,0.025,0.015,8,397,0.48866498740554154,0.0015892733735586512,0.0018881812251286606,0.001920062648842669
6,0.1,0.02,0.012,8,289,0.4671280276816609,0.0012280281502661731,0.0010710311231349216,0.0018750143297480192
7,0.095,0.025,0.012,6,334,0.437125748502994,0.001013376544902927,0.001333558793485723,0.0018332206854856426
8,0.095,0.025,0.015,8,315,0.48253968253968255,0.0011958569422683208,0.0012398026526841861,0.0018312899362807377
9,0.09,0.025,0.015,6,364,0.4807692307692308,0.0012616242687790054,0.0015797987212785513,0.0017955007712109217
10,0.09,0.025,0.015,8,345,0.4811594202898551,0.0012207257700796795,0.0016465657546841442,0.0017801881487330793
11,0.09,0.025,0.012,6,364,0.4423076923076923,0.0012660554203173075,0.0016321923417522625,0.0017317282715116587
12,0.085,0.02,0.015,8,397,0.5138539042821159,0.0014725793691227073,0.0016031172379648655,0.0017296683726389487
13,0.085,0.025,0.015,6,419,0.48687350835322196,0.00144295638790529,0.0016876725813846968,0.0017237243609253558
14,0.085,0.02,0.015,6,419,0.513126491646778,0.0014203169235805632,0.0016058523236021187,0.001698918186552288
15,0.09,0.025,0.012,8,345,0.4434782608695652,0.0012252721115990953,0.0016827247525065528,0.0016854862681359203
16,0.1,0.015,0.012,8,289,0.5155709342560554,0.001385132618879091,0.0007410157294785993,0.0016854103925022206
17,0.095,0.025,0.015,6,334,0.47005988023952094,0.0007682695534112337,0.0010155209770957236,0.001672455259232353
18,0.095,0.015,0.012,8,315,0.526984126984127,0.0014634529966372598,0.0009863610681936758,0.0016718624859464347
19,0.085,0.025,0.012,8,397,0.44836272040302266,0.001363897758084571,0.0017208194966844635,0.0016550918326137833
20,0.095,0.02,0.012,8,315,0.46984126984126984,0.0010307442273470625,0.0010368200815541369,0.0016164114246221101
