trade_no,timestamp,timestamp_kst,direction,gross_return,size,cost,net_return,pnl_amount,capital_before,capital_after,exit_type,exit_timestamp
1,1628604000000,2021-08-10 23:00,short,-0.013748149687641709,1.0,0.00055,-0.014298149687641709,-142.98149687641708,10000.0,9857.018503123583,sl,1628663100000
2,1628841600000,2021-08-13 17:00,long,0.025767146731129342,1.0,0.00055,0.025217146731129344,248.56588192472432,9857.018503123583,10105.584385048307,tp,1628885100000
3,1628949600000,2021-08-14 23:00,short,-0.012735261070268677,1.0,0.00055,-0.013285261070268678,-134.25532682299732,10105.584385048307,9971.32905822531,sl,1628970300000
4,1629025200000,2021-08-15 20:00,long,0.026893774791107328,1.0,0.00055,0.02634377479110733,262.6824470779119,9971.32905822531,10234.011505303222,tp,1629065100000
5,1629147600000,2021-08-17 06:00,short,-0.012001871420785681,1.0,0.00055,-0.012551871420785682,-128.45599653340736,10234.011505303222,10105.555508769816,sl,1629171000000
6,1629190800000,2021-08-17 18:00,long,-0.013445664364310494,1.0,0.00055,-0.013995664364310495,-141.43396311565132,10105.555508769816,9964.121545654165,sl,1629216000000
7,1629226800000,2021-08-18 04:00,long,-0.014725014066831688,1.0,0.00055,-0.015275014066831688,-152.20209677348808,9964.121545654165,9811.919448880677,sl,1629230700000
8,1629331200000,2021-08-19 09:00,long,-0.012632962802212933,1.0,0.00055,-0.013182962802212933,-129.3501691129036,9811.919448880677,9682.569279767773,sl,1629342300000
9,1629964800000,2021-08-26 17:00,short,-0.013161720975490843,1.0,0.00055,-0.013711720975490843,-132.76468829003502,9682.569279767773,9549.804591477738,sl,1629987000000
10,1630411200000,2021-08-31 21:00,long,-0.012499977840246923,1.0,0.00055,-0.013049977840246923,-124.6247382974728,9549.804591477738,9425.179853180265,sl,1630421700000
11,1630659600000,2021-09-03 18:00,long,0.003833486447931911,1.0,0.00055,0.0032834864479319107,30.947450317238275,9425.179853180265,9456.127303497504,timeout,1630746000000
12,1630753200000,2021-09-04 20:00,short,-0.005027695778238028,1.0,0.00055,-0.005577695778238028,-52.74340133919938,9456.127303497504,9403.383902158304,timeout,1630839600000
13,1630825200000,2021-09-05 16:00,long,0.03333433273826936,1.0,0.00055,0.032784332738269355,308.28366671404353,9403.383902158304,9711.667568872348,tp,1630875000000
14,1631494800000,2021-09-13 10:00,short,0.0314267685095968,1.0,0.00055,0.030876768509596805,299.8649113662303,9711.667568872348,10011.532480238579,tp,1631505300000
15,1631815200000,2021-09-17 03:00,short,-0.01204081407278812,1.0,0.00055,-0.01259081407278812,-126.05334404236325,10011.532480238579,9885.479136196216,sl,1631854800000
16,1632063600000,2021-09-20 00:00,long,-0.014417004202054273,1.0,0.00055,-0.014967004202054273,-147.95600777076862,9885.479136196216,9737.523128425448,sl,1632091500000
17,1632222000000,2021-09-21 20:00,short,0.027560852887668408,1.0,0.00055,0.02701085288766841,263.01880471216845,9737.523128425448,10000.541933137616,tp,1632244800000
18,1633287600000,2021-10-04 04:00,long,-0.016339627283363467,1.0,0.00055,-0.016889627283363465,-168.9054258823415,10000.541933137616,9831.636507255274,sl,1633295100000
19,1633683600000,2021-10-08 18:00,long,-0.012145922550472421,1.0,0.00055,-0.012695922550472421,-124.82169564051016,9831.636507255274,9706.814811614764,sl,1633695000000
20,1634814000000,2021-10-21 20:00,short,0.03251629782401477,1.0,0.00055,0.03196629782401477,310.29093319063537,9706.814811614764,10017.1057448054,tp,1634826000000
21,1635080400000,2021-10-24 22:00,long,-0.012325476005734526,1.0,0.00055,-0.012875476005734526,-128.9750046641474,10017.1057448054,9888.130740141252,sl,1635091200000
22,1635649200000,2021-10-31 12:00,short,0.025453390774379137,1.0,0.00055,0.024903390774379138,246.2479838498884,9888.130740141252,10134.37872399114,tp,1635684600000
23,1635966000000,2021-11-04 04:00,long,-0.012757842331654556,1.0,0.00055,-0.013307842331654557,-134.8667141881486,10134.37872399114,9999.512009802991,sl,1635989400000
24,1636038000000,2021-11-05 00:00,short,-0.013075067637136728,1.0,0.00055,-0.013625067637136728,-136.24402747192678,9999.512009802991,9863.267982331065,sl,1636092300000
25,1636250400000,2021-11-07 11:00,long,0.025967978648231194,1.0,0.00055,0.025417978648231195,250.70433497667338,9863.267982331065,10113.972317307738,tp,1636329900000
26,1636664400000,2021-11-12 06:00,short,0.025494766695928206,1.0,0.00055,0.024944766695928208,252.29067982431792,10113.972317307738,10366.262997132057,tp,1636730100000
27,1636747200000,2021-11-13 05:00,short,-0.012718448477892386,1.0,0.00055,-0.013268448477892386,-137.54422648572898,10366.262997132057,10228.718770646328,sl,1636815300000
28,1637168400000,2021-11-18 02:00,long,-0.012179734563897093,1.0,0.00055,-0.012729734563897093,-130.20887487907956,10228.718770646328,10098.509895767249,sl,1637222700000
29,1637413200000,2021-11-20 22:00,short,-0.01245825489343333,1.0,0.00055,-0.01300825489343333,-131.3639907679992,10098.509895767249,9967.14590499925,sl,1637433000000
30,1637463600000,2021-11-21 12:00,short,-0.014051756126173931,1.0,0.00055,-0.014601756126173931,-145.53783377879222,9967.14590499925,9821.608071220458,sl,1637513400000
31,1637496000000,2021-11-21 21:00,long,-0.015286891508855427,1.0,0.00055,-0.015836891508855425,-155.5437414664172,9821.608071220458,9666.064329754041,sl,1637543700000
32,1637586000000,2021-11-22 22:00,long,0.032825956911895826,1.0,0.00055,0.032275956911895824,311.9814758147546,9666.064329754041,9978.045805568796,tp,1637588100000
33,1637643600000,2021-11-23 14:00,long,-0.013650229506499523,1.0,0.00055,-0.014200229506499523,-141.6905404654418,9978.045805568796,9836.355265103353,sl,1637652000000
34,1637686800000,2021-11-24 02:00,long,-0.01547435966254429,1.0,0.00055,-0.01602435966254429,-157.6212945365773,9836.355265103353,9678.733970566776,sl,1637720400000
35,1637780400000,2021-11-25 04:00,short,-0.012263704344356752,1.0,0.00055,-0.012813704344356752,-124.02043552652478,9678.733970566776,9554.713535040251,sl,1637799600000
36,1637827200000,2021-11-25 17:00,long,0.0263112973530486,1.0,0.00055,0.025761297353048603,246.1418164993701,9554.713535040251,9800.855351539622,tp,1637855700000
37,1638007200000,2021-11-27 19:00,short,-0.01392177957268137,1.0,0.00055,-0.01447177957268137,-141.83581827121597,9800.855351539622,9659.019533268405,sl,1638020100000
38,1638057600000,2021-11-28 09:00,short,-0.017015393165989323,1.0,0.00055,-0.01756539316598932,-169.6644756998302,9659.019533268405,9489.355057568575,sl,1638134700000
39,1638100800000,2021-11-28 21:00,short,-0.018804975610015706,1.0,0.00055,-0.019354975610015705,-183.66623569401895,9489.355057568575,9305.688821874555,sl,1638134700000
40,1638288000000,2021-12-01 01:00,short,-0.013398888816950727,1.0,0.00055,-0.013948888816950727,-129.80401874146938,9305.688821874555,9175.884803133085,sl,1638298800000
41,1638327600000,2021-12-01 12:00,long,0.026659405893717514,1.0,0.00055,0.026109405893717515,239.57690075899598,9175.884803133085,9415.46170389208,tp,1638370800000
42,1638381600000,2021-12-02 03:00,short,0.0251408156791465,1.0,0.00055,0.0245908156791465,231.53388329447282,9415.46170389208,9646.995587186553,tp,1638392700000
43,1638428400000,2021-12-02 16:00,short,-0.0002669212160726353,1.0,0.00055,-0.0008169212160726353,-7.880835366531786,9646.995587186553,9639.114751820021,timeout,1638514800000
44,1638504000000,2021-12-03 13:00,long,-0.013834604942634998,1.0,0.00055,-0.014384604942634998,-138.6548577016562,9639.114751820021,9500.459894118365,sl,1638547500000
45,1639162800000,2021-12-11 04:00,long,-0.012023364568784278,1.0,0.00055,-0.012573364568784278,-119.45274581986389,9500.459894118365,9381.0071482985,sl,1639180500000
46,1639245600000,2021-12-12 03:00,short,-0.012544709448114366,1.0,0.00055,-0.013094709448114366,-122.84156293765278,9381.0071482985,9258.165585360848,sl,1639265400000
47,1639310400000,2021-12-12 21:00,long,0.028883846684049086,1.0,0.00055,0.028333846684049088,262.3194442711538,9258.165585360848,9520.485029632002,tp,1639332600000
48,1639497600000,2021-12-15 01:00,long,0.030635577512296397,1.0,0.00055,0.0300855775122964,286.42929031365105,9520.485029632002,9806.914319945652,tp,1639516200000
49,1639839600000,2021-12-19 00:00,long,0.006945104692406723,1.0,0.00055,0.006395104692406723,62.716243785515125,9806.914319945652,9869.630563731167,timeout,1639926000000
50,1639922400000,2021-12-19 23:00,long,-0.0165803677388916,1.0,0.00055,-0.017130367738891598,-169.07040100371887,9869.630563731167,9700.560162727448,sl,1639923000000
51,1639962000000,2021-12-20 10:00,long,-0.012256127290989904,1.0,0.00055,-0.012806127290989905,-124.22660823779344,9700.560162727448,9576.333554489654,sl,1639982100000
52,1640185200000,2021-12-23 00:00,long,-0.012575366010745714,1.0,0.00055,-0.013125366010745715,-125.6928829436622,9576.333554489654,9450.640671545993,sl,1640218800000
53,1640876400000,2021-12-31 00:00,short,-0.022218598548739976,1.0,0.00055,-0.022768598548739975,-215.17784347882505,9450.640671545993,9235.462828067168,sl,1640939400000
54,1640991600000,2022-01-01 08:00,long,0.03137135009142167,1.0,0.00055,0.03082135009142167,284.64943308016944,9235.462828067168,9520.112261147337,tp,1641058800000
55,1641189600000,2022-01-03 15:00,long,-0.013662442751126602,1.0,0.00055,-0.014212442751126602,-135.30405049585494,9520.112261147337,9384.808210651481,sl,1641226800000
56,1641218400000,2022-01-03 23:00,short,0.028775178055562733,1.0,0.00055,0.028225178055562735,264.88788276294514,9384.808210651481,9649.696093414426,tp,1641241500000
57,1641254400000,2022-01-04 09:00,long,-0.012547960186543805,1.0,0.00055,-0.013097960186543805,-126.39133524378944,9649.696093414426,9523.304758170636,sl,1641321900000
58,1641290400000,2022-01-04 19:00,short,-0.014929338484381605,1.0,0.00055,-0.015479338484381605,-147.41445784164517,9523.304758170636,9375.89030032899,sl,1641304200000
59,1641326400000,2022-01-05 05:00,long,-0.017858651490156974,1.0,0.00055,-0.018408651490156972,-172.5974969486996,9375.89030032899,9203.292803380291,sl,1641411900000
60,1641384000000,2022-01-05 21:00,short,0.035946636860376247,1.0,0.00055,0.035396636860376245,325.76561328096625,9203.292803380291,9529.058416661257,tp,1641412500000
61,1641549600000,2022-01-07 19:00,long,-0.022068686774363355,1.0,0.00055,-0.022618686774363354,-215.53478758107178,9529.058416661257,9313.523629080186,sl,1641562800000
62,1642086000000,2022-01-14 00:00,short,0.025912085979537647,1.0,0.00055,0.02536208597953765,236.2103870531872,9313.523629080186,9549.734016133372,tp,1642089000000
63,1642255200000,2022-01-15 23:00,long,0.006721678239253848,1.0,0.00055,0.0061716782392538475,58.93788561803259,9549.734016133372,9608.671901751404,timeout,1642341300000
64,1642284000000,2022-01-16 07:00,short,0.006171780097007473,1.0,0.00055,0.005621780097007473,54.01784045594099,9608.671901751404,9662.689742207345,timeout,1642370400000
65,1642341600000,2022-01-16 23:00,long,-0.012594090906513866,1.0,0.00055,-0.013144090906513866,-127.00727237301238,9662.689742207345,9535.682469834333,sl,1642391100000
66,1642402800000,2022-01-17 16:00,long,-0.012111353042338013,1.0,0.00055,-0.012661353042338013,-120.7346422502062,9535.682469834333,9414.947827584127,sl,1642435800000
67,1642507200000,2022-01-18 21:00,short,-0.012123565753791032,1.0,0.00055,-0.012673565753791033,-119.32096036139947,9414.947827584127,9295.626867222727,sl,1642541700000
68,1642561200000,2022-01-19 12:00,short,0.005172120082682863,1.0,0.00055,0.004622120082682863,42.96550362411655,9295.626867222727,9338.592370846844,timeout,1642647600000
69,1642672800000,2022-01-20 19:00,long,0.029386020010056857,1.0,0.00055,0.02883602001005686,269.2878364715039,9338.592370846844,9607.880207318347,tp,1642691100000
70,1642986000000,2022-01-24 10:00,short,0.025624073157814564,1.0,0.00055,0.025074073157814566,240.9086912098188,9607.880207318347,9848.788898528166,tp,1643002500000
71,1643065200000,2022-01-25 08:00,short,-0.012262532954400607,1.0,0.00055,-0.012812532954400607,-126.18793232332699,9848.788898528166,9722.60096620484,sl,1643129100000
72,1643223600000,2022-01-27 04:00,short,0.02786746953281638,1.0,0.00055,0.027317469532816382,265.5968556740318,9722.60096620484,9988.197821878872,tp,1643226300000
73,1644375600000,2022-02-09 12:00,short,-0.01663454047364321,1.0,0.00055,-0.01718454047364321,-171.64258972883243,9988.197821878872,9816.55523215004,sl,1644410100000
74,1645023600000,2022-02-17 00:00,long,-0.01371996499763195,1.0,0.00055,-0.01426996499763195,-140.08189956010185,9816.55523215004,9676.473332589938,sl,1645089300000
75,1645070400000,2022-02-17 13:00,short,-0.012421644675524313,1.0,0.00055,-0.012971644675524313,-125.51977378254327,9676.473332589938,9550.953558807394,sl,1645085100000
76,1645444800000,2022-02-21 21:00,long,0.025984906395371654,1.0,0.00055,0.025434906395371656,242.92760975480786,9550.953558807394,9793.881168562202,tp,1645452900000
77,1645473600000,2022-02-22 05:00,long,-0.015178989966897705,1.0,0.00055,-0.015728989966897703,-154.04785863730322,9793.881168562202,9639.8333099249,sl,1645480200000
78,1645653600000,2022-02-24 07:00,long,-0.013261310393219206,1.0,0.00055,-0.013811310393219206,-133.13872998226645,9639.8333099249,9506.694579942632,sl,1645662300000
79,1645747200000,2022-02-25 09:00,short,-0.013305593756244516,1.0,0.00055,-0.013855593756244516,-131.7208980643767,9506.694579942632,9374.973681878255,sl,1645752000000
80,1646528400000,2022-03-06 10:00,short,0.03244339133168128,1.0,0.00055,0.03189339133168128,298.9997043603561,9374.973681878255,9673.973386238611,tp,1646560800000
81,1646582400000,2022-03-07 01:00,short,0.030007090619663446,1.0,0.00055,0.029457090619663447,284.9671106906432,9673.973386238611,9958.940496929254,tp,1646621100000
82,1646668800000,2022-03-08 01:00,short,0.02652982258540304,1.0,0.00055,0.02597982258540304,258.7315072488076,9958.940496929254,10217.67200417806,tp,1646676300000
83,1646881200000,2022-03-10 12:00,short,0.026522495863132378,1.0,0.00055,0.02597249586313238,265.37844385935824,10217.67200417806,10483.050448037418,tp,1646886600000
84,1646985600000,2022-03-11 17:00,long,0.02544018038469953,1.0,0.00055,0.02489018038469953,260.9250166335566,10483.050448037418,10743.975464670975,tp,1647001500000
85,1647097200000,2022-03-13 00:00,long,0.002920770250309346,1.0,0.00055,0.0023707702503093456,25.471497401695476,10743.975464670975,10769.44696207267,timeout,1647183600000
86,1647882000000,2022-03-22 02:00,short,-0.012765910508712341,1.0,0.00055,-0.013315910508712342,-143.40499197528368,10769.44696207267,10626.041970097387,sl,1647900000000
87,1648054800000,2022-03-24 02:00,short,-0.012235929094359443,1.0,0.00055,-0.012785929094359444,-135.86381918335272,10626.041970097387,10490.178150914035,sl,1648079100000
88,1649044800000,2022-04-04 13:00,long,-0.014242087215932897,1.0,0.00055,-0.014792087215932897,-155.1716301189941,10490.178150914035,10335.006520795041,sl,1649094000000
89,1649084400000,2022-04-05 00:00,short,-0.01260382148569028,1.0,0.00055,-0.013153821485690281,-135.94483082798297,10335.006520795041,10199.061689967059,sl,1649103600000
90,1649336400000,2022-04-07 22:00,long,-0.01086837912747407,1.0,0.00055,-0.01141837912747407,-116.45675312054028,10199.061689967059,10082.604936846517,timeout,1649422800000
91,1649408400000,2022-04-08 18:00,short,0.0297692283921297,1.0,0.00055,0.0292192283921297,294.60593643733284,10082.604936846517,10377.21087328385,tp,1649441400000
92,1649437200000,2022-04-09 02:00,short,0.027533140033298764,1.0,0.00055,0.026983140033298766,280.0097341488887,10377.21087328385,10657.220607432739,tp,1649459100000
93,1649617200000,2022-04-11 04:00,long,-0.014417276579241078,1.0,0.00055,-0.014967276579241079,-159.5095683974334,10657.220607432739,10497.711039035305,sl,1649628900000
94,1649782800000,2022-04-13 02:00,short,-0.01297202399336772,1.0,0.00055,-0.01352202399336772,-141.95030054527658,10497.711039035305,10355.760738490028,sl,1649857800000
95,1649858400000,2022-04-13 23:00,long,0.0003134923916383592,1.0,0.00055,-0.00023650760836164085,-2.4492162050256563,10355.760738490028,10353.311522285001,timeout,1649944800000
96,1650301200000,2022-04-19 02:00,short,-0.015619798410932528,1.0,0.00055,-0.016169798410932527,-167.41096020093343,10353.311522285001,10185.900562084067,sl,1650301500000
97,1650463200000,2022-04-20 23:00,short,-0.0181838082557233,1.0,0.00055,-0.018733808255723298,-190.82070804194709,10185.900562084067,9995.07985404212,sl,1650536100000
98,1650916800000,2022-04-26 05:00,long,-0.012917756700682737,1.0,0.00055,-0.013467756700682737,-134.6113036781348,9995.07985404212,9860.468550363985,sl,1650981300000
99,1651068000000,2022-04-27 23:00,short,-0.012037192794121188,1.0,0.00055,-0.012587192794121188,-124.11561868380015,9860.468550363985,9736.352931680185,sl,1651107600000
100,1651240800000,2022-04-29 23:00,long,-0.012170473450824781,1.0,0.00055,-0.012720473450824782,-123.85101897529782,9736.352931680185,9612.501912704887,sl,1651250100000
101,1651417200000,2022-05-02 00:00,short,-0.013220548163294099,1.0,0.00055,-0.0137705481632941,-132.3694205586593,9612.501912704887,9480.132492146227,sl,1651420200000
