trade_no,timestamp,timestamp_kst,direction,gross_return,size,cost,net_return,pnl_amount,capital_before,capital_after,exit_type,exit_timestamp
1,1628604000000,2021-08-10 23:00,short,-0.010272914399241717,1.5127072710879188,0.00055,-0.01637190130609508,-163.7190130609508,10000.0,9836.28098693905,sl,1628630700000
2,1628841600000,2021-08-13 17:00,long,0.025767146731129342,1.4243389604450938,0.00055,0.03591776456040816,353.297224638896,9836.28098693905,10189.578211577946,tp,1628885100000
3,1628949600000,2021-08-14 23:00,short,-0.011406819141489777,1.4057315288598642,0.00055,-0.016808077652067314,-171.2672218220153,10189.578211577946,10018.31098975593,sl,1628970000000
4,1629025200000,2021-08-15 20:00,long,0.026893774791107328,1.8,0.00055,0.04741879462399319,475.05623130253036,10018.31098975593,10493.367221058461,tp,1629065100000
5,1629147600000,2021-08-17 06:00,short,-0.010344979359489415,1.625055281396836,0.00055,-0.01770494374884779,-185.78447638484332,10493.367221058461,10307.582744673618,sl,1629170400000
6,1629190800000,2021-08-17 18:00,long,-0.010365626937922756,1.7424663853116857,0.00055,-0.019020113013933127,-196.05138870415922,10307.582744673618,10111.531355969459,sl,1629213000000
7,1629226800000,2021-08-18 04:00,long,-0.014725014066831688,1.7341869730945503,0.00055,-0.02648973040853552,-267.85173963708456,10111.531355969459,9843.679616332374,sl,1629230700000
8,1629331200000,2021-08-19 09:00,long,-0.012632962802212933,1.6054866621339414,0.00055,-0.02116507094636075,-208.34217745291988,9843.679616332374,9635.337438879455,sl,1629342300000
9,1629964800000,2021-08-26 17:00,short,-0.01076707774334773,1.2068128137076815,0.00055,-0.013657594434398053,-131.59553097878722,9635.337438879455,9503.741907900667,sl,1629980400000
10,1630411200000,2021-08-31 21:00,long,-0.010012871427443781,1.4098403445765608,0.00055,-0.014891962292985249,-141.52936613472042,9503.741907900667,9362.212541765946,sl,1630421400000
11,1630659600000,2021-09-03 18:00,long,0.003833486447931911,1.566483250632653,0.00055,0.005143526524364643,48.15478853531246,9362.212541765946,9410.367330301258,timeout,1630746000000
12,1630753200000,2021-09-04 20:00,short,-0.011031238882537098,1.8,0.00055,-0.020846229988566778,-196.17068164435517,9410.367330301258,9214.196648656904,sl,1630758900000
13,1630825200000,2021-09-05 16:00,long,0.03333433273826936,1.8,0.00055,0.05901179892888485,543.7463199217458,9214.196648656904,9757.942968578649,tp,1630875000000
14,1631494800000,2021-09-13 10:00,short,0.0314267685095968,1.7475693225966946,0.00055,0.05395929342829104,526.5317078980646,9757.942968578649,10284.474676476713,tp,1631505300000
15,1631815200000,2021-09-17 03:00,short,-0.011569631662616375,1.8,0.00055,-0.021815336992709478,-224.3592808603263,10284.474676476713,10060.115395616387,sl,1631842200000
16,1632063600000,2021-09-20 00:00,long,-0.010815693340021526,1.8,0.00055,-0.02045824801203875,-205.8123357932494,10060.115395616387,9854.303059823138,sl,1632091200000
17,1632222000000,2021-09-21 20:00,short,0.027560852887668408,0.9194586576431257,0.00055,0.024835362537891544,244.73518904896156,9854.303059823138,10099.038248872099,tp,1632244800000
18,1633287600000,2021-10-04 04:00,long,-0.011522913446126992,1.8,0.00055,-0.021731244203028587,-219.4646664019658,10099.038248872099,9879.573582470133,sl,1633294800000
19,1633683600000,2021-10-08 18:00,long,-0.010170226951630612,1.437430695015783,0.00055,-0.015409583277809318,-152.24011186831845,9879.573582470133,9727.333470601814,sl,1633685100000
20,1634814000000,2021-10-21 20:00,short,0.03251629782401477,1.3391790897216074,0.00055,0.0428085976217339,416.41350447541737,9727.333470601814,10143.74697507723,tp,1634826000000
21,1635080400000,2021-10-24 22:00,long,-0.010364886793424954,1.8,0.00055,-0.01964679622816492,-199.29212980940665,10143.74697507723,9944.454845267825,sl,1635088800000
22,1635649200000,2021-10-31 12:00,short,0.025453390774379137,1.8,0.00055,0.04482610339388245,445.77116108977077,9944.454845267825,10390.226006357596,tp,1635684600000
23,1635966000000,2021-11-04 04:00,long,-0.010733560914800044,1.8,0.00055,-0.020310409646640083,-211.02974651029598,10390.226006357596,10179.1962598473,sl,1635988200000
24,1636038000000,2021-11-05 00:00,short,-0.011839001446562358,1.8,0.00055,-0.02230020260381225,-226.99813893856265,10179.1962598473,9952.198120908737,sl,1636092000000
25,1636250400000,2021-11-07 11:00,long,0.025967978648231194,1.8,0.00055,0.045752361566816155,455.33656681240484,9952.198120908737,10407.534687721141,tp,1636329900000
26,1636664400000,2021-11-12 06:00,short,0.025494766695928206,1.552297363796367,0.00055,0.03872169558260476,402.99738994333757,10407.534687721141,10810.532077664478,tp,1636730100000
27,1636747200000,2021-11-13 05:00,short,-0.010812660372084837,1.8,0.00055,-0.020452788669752708,-221.10552799205425,10810.532077664478,10589.426549672424,sl,1636813500000
28,1637168400000,2021-11-18 02:00,long,-0.010402994531021337,1.263160109057721,0.00055,-0.013835385766313534,-146.50880135876048,10589.426549672424,10442.917748313663,sl,1637187900000
29,1637413200000,2021-11-20 22:00,short,-0.01245825489343333,1.8,0.00055,-0.023414858808179995,-244.51944462220138,10442.917748313663,10198.398303691461,sl,1637433000000
30,1637463600000,2021-11-21 12:00,short,-0.014051756126173931,1.4777625394988387,0.00055,-0.021577928214157514,-220.06030649644012,10198.398303691461,9978.337997195022,sl,1637513400000
31,1637496000000,2021-11-21 21:00,long,-0.010386038287202082,1.4479330286038823,0.00055,-0.015834651038116522,-158.0035001259617,9978.337997195022,9820.33449706906,sl,1637539800000
32,1637586000000,2021-11-22 22:00,long,0.032825956911895826,1.8,0.00055,0.05809672244141249,570.5292475580493,9820.33449706906,10390.86374462711,tp,1637588100000
33,1637643600000,2021-11-23 14:00,long,-0.013650229506499523,1.1642339421999723,0.00055,-0.01653238917849631,-171.78580332690288,10390.86374462711,10219.077941300207,sl,1637652000000
34,1637686800000,2021-11-24 02:00,long,-0.010772753162874849,1.3137132540751293,0.00055,-0.014874850902689779,-152.0072607398066,10219.077941300207,10067.0706805604,sl,1637720100000
35,1637780400000,2021-11-25 04:00,short,-0.011427182383894063,1.8,0.00055,-0.021558928291009315,-217.035254902724,10067.0706805604,9850.035425657676,sl,1637787300000
36,1637827200000,2021-11-25 17:00,long,0.0263112973530486,1.6194965467393045,0.00055,0.0417203321027866,410.94674918265116,9850.035425657676,10260.982174840326,tp,1637855700000
37,1638007200000,2021-11-27 19:00,short,-0.010034741938629965,1.631556442561819,0.00055,-0.017269603902825996,-177.20309781345048,10260.982174840326,10083.779077026877,sl,1638019500000
38,1638057600000,2021-11-28 09:00,short,-0.010109138888265923,1.8,0.00055,-0.01918644999887866,-193.47192306111498,10083.779077026877,9890.307153965761,sl,1638134400000
39,1638100800000,2021-11-28 21:00,short,-0.011886568800981046,1.8,0.00055,-0.022385823841765885,-221.40267368963444,9890.307153965761,9668.904480276127,sl,1638134400000
40,1638288000000,2021-12-01 01:00,short,-0.010746193951015615,1.255236238208177,0.00055,-0.014179392001142804,-137.09918684744113,9668.904480276127,9531.805293428686,sl,1638298200000
41,1638327600000,2021-12-01 12:00,long,0.026659405893717514,1.2722242257187402,0.00055,0.03321701869711108,316.618154649043,9531.805293428686,9848.423448077729,tp,1638370800000
42,1638381600000,2021-12-02 03:00,short,0.0251408156791465,1.6689615823760349,0.00055,0.04104112664778575,404.19039401358094,9848.423448077729,10252.61384209131,tp,1638392700000
43,1638428400000,2021-12-02 16:00,short,-0.0002669212160726353,1.5281969393766697,0.00055,-0.0012484165021140684,-12.799532310269914,10252.61384209131,10239.81430978104,timeout,1638514800000
44,1638504000000,2021-12-03 13:00,long,-0.013834604942634998,1.8,0.00055,-0.025892288896743,-265.1322303578537,10239.81430978104,9974.682079423186,sl,1638547500000
45,1639162800000,2021-12-11 04:00,long,-0.012023364568784278,1.1845722623481982,0.00055,-0.01489405891257347,-148.5635025251198,9974.682079423186,9826.118576898067,sl,1639180500000
46,1639245600000,2021-12-12 03:00,short,-0.010519809901955224,1.7471176392667656,0.00055,-0.019340260143035876,-190.0396894735261,9826.118576898067,9636.07888742454,sl,1639264800000
47,1639310400000,2021-12-12 21:00,long,0.028883846684049086,1.8,0.00055,0.05100092403128836,491.44892729704065,9636.07888742454,10127.527814721581,tp,1639332600000
48,1639497600000,2021-12-15 01:00,long,0.030635577512296397,1.450578611949768,0.00055,0.04364149526749406,441.9804571975863,10127.527814721581,10569.508271919167,tp,1639516200000
49,1639839600000,2021-12-19 00:00,long,-0.01187328420556133,1.234657396382424,0.00055,-0.015338499731757244,-162.12039979363811,10569.508271919167,10407.38787212553,sl,1639854300000
50,1639922400000,2021-12-19 23:00,long,-0.0165803677388916,1.8,0.00055,-0.03083466193000488,-320.9082866114236,10407.38787212553,10086.479585514106,sl,1639923000000
51,1639962000000,2021-12-20 10:00,long,-0.010727868083734493,1.457288952218023,0.00055,-0.01643511256299852,-165.77242735231098,10086.479585514106,9920.707158161795,sl,1639980000000
52,1640185200000,2021-12-23 00:00,long,-0.011550370832714374,1.8,0.00055,-0.021780667498885874,-216.07962396573905,9920.707158161795,9704.627534196055,sl,1640218500000
53,1640876400000,2021-12-31 00:00,short,-0.010849757181606412,1.7985093914039185,0.00055,-0.020502570350843397,-198.9698087485865,9704.627534196055,9505.657725447469,sl,1640890500000
54,1640991600000,2022-01-01 08:00,long,0.03137135009142167,1.1599857908835267,0.00055,0.03575232816189582,339.8493943948581,9505.657725447469,9845.507119842327,tp,1641058800000
