scenario_id,year,n,avg,win_rate,sum
V3D_blend80_volTarget,2021,54,-0.0014651827995855312,0.3333333333333333,-0.07911987117761869
V3D_blend80_volTarget,2022,118,0.004289436662828252,0.4830508474576271,0.5061535262137338
V3D_blend80_volTarget,2023,24,-0.0039134895711791925,0.4166666666666667,-0.09392374970830061
V3D_blend80_volTarget,2024,49,0.00082345775937012,0.42857142857142855,0.04034943020913588
V3D_blend80_volTarget,2025,38,0.008291847916797134,0.5263157894736842,0.31509022083829114
V3D_blend80_volTarget,2026,6,0.003130950405064056,0.5,0.018785702430384337
V3C_blend80_fixed,2021,54,-0.0005774518006899184,0.3333333333333333,-0.031182397237255594
V3C_blend80_fixed,2022,118,0.0029110694024255816,0.4830508474576271,0.34350618948621864
V3C_blend80_fixed,2023,24,-0.002340170409540905,0.4166666666666667,-0.05616408982898172
V3C_blend80_fixed,2024,49,0.0019743399990974474,0.42857142857142855,0.09674265995577493
V3C_blend80_fixed,2025,38,0.004407111774994738,0.5263157894736842,0.16747024744980002
V3C_blend80_fixed,2026,6,0.0006767935888610171,0.5,0.004060761533166103
V3A_taker_fixed,2021,54,-0.0009774518006899185,0.3333333333333333,-0.0527823972372556
V3A_taker_fixed,2022,118,0.0025110694024255875,0.4745762711864407,0.29630618948621934
V3A_taker_fixed,2023,24,-0.0027401704095409048,0.375,-0.06576408982898171
V3A_taker_fixed,2024,49,0.0015743399990974468,0.42857142857142855,0.07714265995577489
V3A_taker_fixed,2025,38,0.00400711177499474,0.5263157894736842,0.15227024744980014
V3A_taker_fixed,2026,6,0.00027679358886101784,0.5,0.001660761533166107
