scenario_id,test_year,train_years,train_n,train_avg,test_n,test_avg,test_win_rate
V3A_taker_fixed,2022,2021,54,-0.0009774518006899185,118,0.0025110694024255875,0.4745762711864407
V3A_taker_fixed,2023,"2021,2022",172,0.001415836001447465,24,-0.0027401704095409048,0.375
V3A_taker_fixed,2024,"2021,2022,2023",196,0.0009069372572448076,49,0.0015743399990974468,0.42857142857142855
V3A_taker_fixed,2025,"2021,2022,2023,2024",245,0.0010404178056153358,38,0.00400711177499474,0.5263157894736842
V3A_taker_fixed,2026,"2021,2022,2023,2024,2025",283,0.001438772472881826,6,0.00027679358886101784,0.5
V3B_blend50_fixed,2022,2021,54,-0.0007274518006899185,118,0.0027610694024255904,0.4830508474576271
V3B_blend50_fixed,2023,"2021,2022",172,0.001665836001447465,24,-0.002490170409540905,0.4166666666666667
V3B_blend50_fixed,2024,"2021,2022,2023",196,0.0011569372572448077,49,0.001824339999097447,0.42857142857142855
V3B_blend50_fixed,2025,"2021,2022,2023,2024",245,0.0012904178056153365,38,0.00425711177499474,0.5263157894736842
V3B_blend50_fixed,2026,"2021,2022,2023,2024,2025",283,0.0016887724728818295,6,0.000526793588861018,0.5
V3C_blend80_fixed,2022,2021,54,-0.0005774518006899184,118,0.0029110694024255816,0.4830508474576271
V3C_blend80_fixed,2023,"2021,2022",172,0.0018158360014474597,24,-0.002340170409540905,0.4166666666666667
V3C_blend80_fixed,2024,"2021,2022,2023",196,0.0013069372572448012,49,0.0019743399990974474,0.42857142857142855
V3C_blend80_fixed,2025,"2021,2022,2023,2024",245,0.001440417805615328,38,0.004407111774994738,0.5263157894736842
V3C_blend80_fixed,2026,"2021,2022,2023,2024,2025",283,0.001838772472881821,6,0.0006767935888610171,0.5
V3D_blend80_volTarget,2022,2021,54,-0.0014651827995855312,118,0.004289436662828252,0.4830508474576271
V3D_blend80_volTarget,2023,"2021,2022",172,0.0024827538083495057,24,-0.0039134895711791925,0.4166666666666667
V3D_blend80_volTarget,2024,"2021,2022,2023",196,0.0016995403333051752,49,0.00082345775937012,0.42857142857142855
V3D_blend80_volTarget,2025,"2021,2022,2023,2024",245,0.0015243238185181642,38,0.008291847916797134,0.5263157894736842
V3D_blend80_volTarget,2026,"2021,2022,2023,2024,2025",283,0.002433037301679297,6,0.003130950405064056,0.5
V3E_blend50_volTarget_tightSL,2022,2021,54,0.00012718915222900844,118,0.0015712836322602805,0.4152542372881356
V3E_blend50_volTarget_tightSL,2023,"2021,2022",172,0.0011179051327155785,24,-0.002714495230354171,0.4166666666666667
V3E_blend50_volTarget_tightSL,2024,"2021,2022,2023",196,0.0006486316188703031,49,0.001297514446705781,0.3877551020408163
V3E_blend50_volTarget_tightSL,2025,"2021,2022,2023,2024",245,0.0007784081844373985,38,0.008992603404565766,0.5263157894736842
V3E_blend50_volTarget_tightSL,2026,"2021,2022,2023,2024,2025",283,0.0018813743270694762,6,0.004220875183617144,0.5
